mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
0,2.4543692606170259e-02,2.4543692606170259e-02,3.4710022954362235e-02,1.0000000000000000e+02,5.0000000000000000e+03,6.5752425064826470e-01,6.5812750198028225e-01,2.7815471273464156e-03,2.3183898447923265e-03,10,1152
1,4.9087385212340517e-02,4.9087385212340517e-02,6.9420045908724470e-02,1.0000000000000000e+02,5.0000000000000000e+03,6.5726366821274163e-01,6.5632536199498603e-01,2.8303836916609092e-03,1.3360431969516486e-03,10,1152
2,7.3631077818510776e-02,7.3631077818510776e-02,1.0413006886308671e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.5012518240366701e-01,6.4924246107317463e-01,2.7124072969860994e-03,2.0116181833156371e-03,10,1152
3,9.8174770424681035e-02,9.8174770424681035e-02,1.3884009181744894e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.4044674995156137e-01,6.3805507912895798e-01,2.5990065685818587e-03,1.3241815240287208e-03,10,1152
4,1.2271846303085129e-01,1.2271846303085129e-01,1.7355011477181118e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.3245714102364481e-01,6.3074988934638521e-01,2.5908466418556636e-03,2.4850928437409473e-03,10,1152
5,1.4726215563702155e-01,1.4726215563702155e-01,2.0826013772617341e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.4729287008612357e-01,6.4678339340414082e-01,2.7697414307259163e-03,9.4198365085253731e-04,10,1152
6,1.7180584824319181e-01,1.7180584824319181e-01,2.4297016068053565e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.2169124965910638e-01,6.2219318180108407e-01,2.6249129487246206e-03,2.0539886615881520e-03,10,1152
7,1.9634954084936207e-01,1.9634954084936207e-01,2.7768018363489788e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.3290830416506172e-01,6.2816778188011757e-01,2.6490862990170084e-03,2.8268575037124219e-03,10,1152
8,2.2089323345553233e-01,2.2089323345553233e-01,3.1239020658926009e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.2116982774600260e-01,6.1927100060524742e-01,2.6795883239148924e-03,2.1240044452393446e-03,10,1152
9,2.4543692606170259e-01,2.4543692606170259e-01,3.4710022954362235e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.1568499412133249e-01,6.1802634619506946e-01,2.6265543671673787e-03,2.8939899539584123e-03,10,1152
