k,S_mean,S_std,S_sem,count,Ls,FNS_eta0_fit_kmax1p0,ratio_S_to_FNS
6.9420045908724470e-02,4.7360164874834276e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,4.4752018239928015e-01,1.0582799779201748e+00
1.3884009181744894e-01,4.3566796623741449e-01,1.0588176601156570e-02,7.4869714750785410e-03,2,64;128,4.2378028049966399e-01,1.0280515311465983e+00
2.0826013772617341e-01,4.1113036401107927e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,4.0925544358214327e-01,1.0045812962499048e+00
2.7768018363489788e-01,4.0612067192620888e-01,4.4814301306081725e-03,2.5873548922611283e-03,3,32;64;128,3.9862907398490494e-01,1.0187934057754844e+00
3.4710022954362235e-01,3.9032673046377631e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.9018737649243562e-01,1.0003571462833918e+00
4.1652027545234682e-01,3.8948332217540271e-01,3.4409021355735155e-03,2.4330852334633057e-03,2,64;128,3.8315196800656759e-01,1.0165243942286801e+00
4.8594032136107129e-01,3.8350857847963338e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.7710122657670114e-01,1.0169910661948722e+00
5.5536036726979576e-01,3.6965524182079940e-01,1.6163495721134716e-03,9.3319986056424932e-04,3,32;64;128,3.7178024572555185e-01,9.9428424740371724e-01
6.2478041317852018e-01,3.6436682025230060e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.6702278205657585e-01,9.9276349607129888e-01
6.9420045908724470e-01,3.5921251263471565e-01,1.0628089952067520e-03,7.5151944761675516e-04,2,64;128,3.6271421430616502e-01,9.9034583831199519e-01
7.6362050499596923e-01,3.5420391446461641e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.5877206913193083e-01,9.8726725110355629e-01
8.3304055090469353e-01,3.4324988951460811e-01,4.7423392946725849e-03,2.7379908683677571e-03,3,32;64;128,3.5513496458810517e-01,9.6653363859207253e-01
9.0246059681341806e-01,3.3777156434187905e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.5175594446059177e-01,9.6024408303843334e-01
9.7188064272214258e-01,3.3639126268394193e-01,9.4576077311460220e-03,6.6875385604956697e-03,2,64;128,3.4859826099873392e-01,9.6498261844502908e-01
1.0413006886308671e+00,3.3834127515457024e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.4563259860866946e-01,9.7890441039574927e-01
1.1107207345395915e+00,3.2934929573767058e-01,3.1925550836475062e-03,1.8432225369465960e-03,3,32;64;128,3.4283518430499610e-01,9.6066363901749341e-01
1.1801407804483159e+00,3.2143372845534846e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.4018646475623882e-01,9.4487512513371841e-01
1.2495608263570404e+00,3.2622966959398259e-01,3.9922633086327984e-03,2.8229564578164941e-03,2,64;128,3.3767015715671067e-01,9.6611934066350247e-01
1.3189808722657650e+00,3.1781068273408675e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.3527255367597752e-01,9.4791738616705645e-01
1.3884009181744894e+00,3.1231923058410677e-01,2.8298676889783234e-03,1.6338248720026592e-03,3,32;64;128,3.3298200213439094e-01,9.3794628112679579e-01
1.4578209640832138e+00,3.1224221898423443e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.3078851179051605e-01,9.4393308066869408e-01
1.5272410099919385e+00,3.1044119770540440e-01,1.5074251600138279e-03,1.0659105527769941e-03,2,64;128,3.2868344965163043e-01,9.4449902492638171e-01
1.5966610559006629e+00,3.1197180325286500e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.2665930340067684e-01,9.5503725136584794e-01
1.6660811018093871e+00,3.0486967099419343e-01,1.5576530796837021e-03,8.9931142485943504e-04,3,32;64;128,3.2470949410000877e-01,9.3889977513344658e-01
1.7355011477181117e+00,3.0168287848357173e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.2282822660575150e-01,9.3449969246957088e-01
1.8049211936268361e+00,2.9869320941466815e-01,1.0025676818540464e-02,7.0892240643747328e-03,2,64;128,3.2101036891205215e-01,9.3047838431817675e-01
1.8743412395355608e+00,2.8722745113482706e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.1925135394463194e-01,8.9969062804551547e-01
1.9437612854442852e+00,2.9168143451607409e-01,3.0077119129289596e-03,1.7365032825743792e-03,3,32;64;128,3.1754709895861166e-01,9.1854542356909130e-01
2.0131813313530098e+00,2.9457593299990825e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.1589393887523176e-01,9.3251530576614372e-01
2.0826013772617342e+00,2.8866813688811888e-01,8.4050091280328497e-03,5.9432389503668581e-03,2,64;128,3.1428857075412481e-01,9.1848117860432987e-01
2.1520214231704586e+00,2.8914661520891571e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.1272800723537786e-01,9.2459456306798460e-01
