figure,L,n,k,S_k_L,k_digitized,pdf_x,pdf_top,cluster_count
Yokota et al. 2026 Fig. 3,32,0,0.0000000000000000e+00,4.1262552671996233e-01,2.2101146316028257e-05,90.170500,108.460500,1
Yokota et al. 2026 Fig. 3,32,1,2.7768018363489788e-01,4.0297063495188956e-01,2.7774510575220046e-01,96.453500,112.138000,1
Yokota et al. 2026 Fig. 3,32,2,5.5536036726979576e-01,3.7049843132621851e-01,5.5537970577282214e-01,102.734500,124.506500,1
Yokota et al. 2026 Fig. 3,32,3,8.3304055090469364e-01,3.4703527218787322e-01,8.3305850808607573e-01,109.016500,133.443500,1
Yokota et al. 2026 Fig. 3,32,4,1.1107207345395915e+00,3.2784888223788711e-01,1.1108257149845924e+00,115.300500,140.751500,1
Yokota et al. 2026 Fig. 3,32,5,1.3884009181744894e+00,3.1545176492209143e-01,1.3883498092736342e+00,121.579000,145.473500,1
Yokota et al. 2026 Fig. 3,32,6,1.6660811018093873e+00,3.0311240630619973e-01,1.6661391173184661e+00,127.863500,150.173500,1
Yokota et al. 2026 Fig. 3,32,7,1.9437612854442852e+00,2.8902059622730691e-01,1.9438621219243517e+00,134.146500,155.541000,1
Yokota et al. 2026 Fig. 3,32,8,2.2214414690791831e+00,2.8630462463408557e-01,2.2214525196523414e+00,140.426500,156.575500,1
Yokota et al. 2026 Fig. 3,32,9,2.4991216527140807e+00,2.7515194476167981e-01,2.4991755242582259e+00,146.709500,160.823500,1
Yokota et al. 2026 Fig. 3,32,10,2.7768018363489788e+00,2.6900720671051082e-01,2.7768985288641113e+00,152.992500,163.164000,1
Yokota et al. 2026 Fig. 3,32,11,3.0544820199838769e+00,2.6900720671051082e-01,3.0544889265920996e+00,159.272500,163.164000,1
Yokota et al. 2026 Fig. 3,32,12,3.3321622036187746e+00,2.7781672114362221e-01,3.3321898300516701e+00,165.555000,159.808500,1
Yokota et al. 2026 Fig. 3,32,13,3.6098423872536722e+00,2.6272857349138218e-01,3.6099791380965018e+00,171.839500,165.555500,1
Yokota et al. 2026 Fig. 3,32,14,3.8875225708885703e+00,2.7258955880229457e-01,3.8875253335318596e+00,178.118500,161.799500,1
Yokota et al. 2026 Fig. 3,32,15,4.1652027545234684e+00,2.8117722731986494e-01,4.1652925404303778e+00,184.402500,158.528500,1
Yokota et al. 2026 Fig. 3,32,16,4.4428829381583661e+00,2.7970438047230872e-01,4.4429713427436299e+00,190.684500,159.089500,1
Yokota et al. 2026 Fig. 3,32,17,4.7205631217932638e+00,2.8082017353863920e-01,4.7206059427642515e+00,196.965500,158.664500,1
Yokota et al. 2026 Fig. 3,32,18,4.9982433054281614e+00,2.8770658580448688e-01,4.9982626439311888e+00,203.247000,156.041500,1
Yokota et al. 2026 Fig. 3,32,19,5.2759234890630600e+00,2.8857559169849967e-01,5.2759193450981252e+00,209.528500,155.710500,1
Yokota et al. 2026 Fig. 3,32,20,5.5536036726979576e+00,2.8667874348573763e-01,5.5535981474113791e+00,215.810500,156.433000,1
Yokota et al. 2026 Fig. 3,32,21,5.8312838563328553e+00,2.9005894012785671e-01,5.8313653543098942e+00,222.094500,155.145500,1
Yokota et al. 2026 Fig. 3,32,22,6.1089640399677538e+00,2.8588456136205520e-01,6.1089115497452546e+00,228.373500,156.735500,1
Yokota et al. 2026 Fig. 3,32,23,6.3866442236026515e+00,2.7037109964688433e-01,6.3866787566437715e+00,234.657500,162.644500,1
Yokota et al. 2026 Fig. 3,32,24,6.6643244072375492e+00,2.6481182478110787e-01,6.6644459635422875e+00,240.941500,164.762000,1
Yokota et al. 2026 Fig. 3,32,25,6.9420045908724468e+00,2.5155095236219960e-01,6.9419921589776443e+00,247.220500,169.813000,1
Yokota et al. 2026 Fig. 3,32,26,7.2196847745073445e+00,2.3323750639940130e-01,7.2197593658761621e+00,253.504500,176.788500,1
Yokota et al. 2026 Fig. 3,32,27,7.4973649581422430e+00,2.1747988290736295e-01,7.4974381681894133e+00,259.786500,182.790500,1
Yokota et al. 2026 Fig. 3,32,28,7.7750451417771407e+00,2.0285905564525669e-01,7.7750727682100349e+00,266.067500,188.359500,1
Yokota et al. 2026 Fig. 3,32,29,8.0527253254120392e+00,1.9094238569684543e-01,8.0527073682306565e+00,272.348500,192.898500,1
Yokota et al. 2026 Fig. 3,32,30,8.3304055090469369e+00,1.7297943002664767e-01,8.3305187774218048e+00,278.633500,199.740500,1
Yokota et al. 2026 Fig. 3,32,31,8.6080856926818345e+00,1.6840861654786743e-01,8.6080649728571625e+00,284.912500,201.481500,1
Yokota et al. 2026 Fig. 3,32,32,8.8857658763167322e+00,1.5112826369471913e-01,8.8858100786093654e+00,291.196000,208.063500,2
Yokota et al. 2026 Fig. 3,64,0,0.0000000000000000e+00,4.5291484529857329e-01,2.2101146316028257e-05,90.170500,93.114500,1
Yokota et al. 2026 Fig. 3,64,1,1.3884009181744894e-01,4.2818099476233595e-01,1.3881730001031015e-01,93.310500,102.535500,1
Yokota et al. 2026 Fig. 3,64,2,2.7768018363489788e-01,4.0414024862494913e-01,2.7774510575220046e-01,96.453500,111.692500,1
Yokota et al. 2026 Fig. 3,64,3,4.1652027545234682e-01,3.9191640740886602e-01,4.1654030461619584e-01,99.593500,116.348500,1
Yokota et al. 2026 Fig. 3,64,4,5.5536036726979576e-01,3.6779164861707303e-01,5.5537970577282214e-01,102.734500,125.537500,1
Yokota et al. 2026 Fig. 3,64,5,6.9420045908724470e-01,3.5846099318709890e-01,6.9430751151471237e-01,105.877500,129.091500,1
Yokota et al. 2026 Fig. 3,64,6,8.3304055090469364e-01,3.3793040076661551e-01,8.3305850808607573e-01,109.016500,136.911500,1
Yokota et al. 2026 Fig. 3,64,7,9.7188064272214258e-01,3.4307880124443757e-01,9.7189790924270181e-01,112.157500,134.950500,1
Yokota et al. 2026 Fig. 3,64,8,1.1107207345395915e+00,3.3301566048386055e-01,1.1108257149845924e+00,115.300500,138.783500,1
Yokota et al. 2026 Fig. 3,64,9,1.2495608263570404e+00,3.2340671313616609e-01,1.2495767115559555e+00,118.439500,142.443500,1
Yokota et al. 2026 Fig. 3,64,10,1.3884009181744894e+00,3.1155830346946012e-01,1.3883498092736342e+00,121.579000,146.956500,1
Yokota et al. 2026 Fig. 3,64,11,1.5272410099919385e+00,3.1150710825818140e-01,1.5272776150155245e+00,124.722000,146.976000,1
Yokota et al. 2026 Fig. 3,64,12,1.6660811018093873e+00,3.0541619081374122e-01,1.6661391173184661e+00,127.863500,149.296000,1
Yokota et al. 2026 Fig. 3,64,13,1.8049211936268361e+00,3.0578243347904288e-01,1.8049343161824627e+00,131.003500,149.156500,1
Yokota et al. 2026 Fig. 3,64,14,1.9437612854442852e+00,2.9494480106065968e-01,1.9438621219243517e+00,134.146500,153.284500,1
Yokota et al. 2026 Fig. 3,64,15,2.0826013772617342e+00,2.9461137583848573e-01,2.0826131184957140e+00,137.285500,153.411500,1
Yokota et al. 2026 Fig. 3,64,16,2.2214414690791831e+00,2.8489084918415830e-01,2.2214525196523414e+00,140.426500,157.114000,1
Yokota et al. 2026 Fig. 3,64,17,2.3602815608966319e+00,2.8898515338872915e-01,2.3603803253942317e+00,143.569500,155.554500,1
Yokota et al. 2026 Fig. 3,64,18,2.4991216527140807e+00,2.8310689297575464e-01,2.4991755242582259e+00,146.709500,157.793500,1
Yokota et al. 2026 Fig. 3,64,19,2.6379617445315300e+00,2.7772745769831575e-01,2.6379707231222214e+00,149.849500,159.842500,1
Yokota et al. 2026 Fig. 3,64,20,2.7768018363489788e+00,2.8235077908610001e-01,2.7768985288641113e+00,152.992500,158.081500,1
Yokota et al. 2026 Fig. 3,64,21,2.9156419281664276e+00,2.8267895351737371e-01,2.9156937277281059e+00,156.132500,157.956500,1
Yokota et al. 2026 Fig. 3,64,22,3.0544820199838769e+00,2.7669042649549092e-01,3.0544889265920996e+00,159.272500,160.237500,1
