k,S_mean,S_std,S_sem,count,Ls,FNS_BA_fit_kmax3p6,ratio_S_to_FNS
6.9420045908724470e-02,1.8373332723237776e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.9798527991138968e+00,9.2801508937739952e-01
1.3884009181744894e-01,1.8148970082439158e+00,2.9982487995599987e-03,2.1200820578533008e-03,2,64;128,1.9042895616762552e+00,9.5305726858385365e-01
2.0826013772617341e-01,1.8082622190700623e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.8586643573782147e+00,9.7288260351683487e-01
2.7768018363489788e-01,1.8032950244165333e+00,1.9818496198943120e-02,1.1442214115393387e-02,3,32;64;128,1.8256013703049072e+00,9.8778137097659591e-01
3.4710022954362235e-01,1.8124413736301439e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.7995374382562084e+00,1.0071706957019131e+00
4.1652027545234682e-01,1.8084299953480216e+00,1.1712583440001622e-02,8.2820471756384073e-03,2,64;128,1.7779580484190798e+00,1.0171387322417629e+00
4.8594032136107129e-01,1.7881290657149191e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.7595064672950524e+00,1.0162674016560276e+00
5.5536036726979576e-01,1.7809858635775502e+00,2.8806171979611717e-02,1.6631251146751482e-02,3,32;64;128,1.7433651343907179e+00,1.0215793745353179e+00
6.2478041317852018e-01,1.7918201438300263e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.7290023946244870e+00,1.0363317884352510e+00
6.9420045908724470e-01,1.7739367178384318e+00,2.4277187222325726e-02,1.7166563713041923e-02,2,64;128,1.7160526274668058e+00,1.0337309529120171e+00
7.6362050499596923e-01,1.7467645870034401e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.7042533731656473e+00,1.0249441864145050e+00
8.3304055090469364e-01,1.7512182845638204e+00,3.2268774541570129e-02,1.8630385667994857e-02,3,32;64;128,1.6934097113481410e+00,1.0341373814194426e+00
9.0246059681341806e-01,1.7579598404600110e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.6833728271645192e+00,1.0443080772671889e+00
9.7188064272214258e-01,1.7389629900783232e+00,1.4074513249725759e-02,9.9521837607809954e-03,2,64;128,1.6740264744032953e+00,1.0387906145260781e+00
1.0413006886308671e+00,1.7318782554317591e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.6652780785546766e+00,1.0399934267644273e+00
1.1107207345395915e+00,1.7154870214880740e+00,2.5080522680603876e-02,1.4480246521063164e-02,3,32;64;128,1.6570526908819698e+00,1.0352640147942442e+00
1.1801407804483159e+00,1.7068643376268817e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.6492887615241345e+00,1.0349093363429827e+00
1.2495608263570404e+00,1.7001761650918581e+00,1.1119404720667450e-02,7.8626064807416612e-03,2,64;128,1.6419351111317468e+00,1.0354709839416048e+00
1.3189808722657650e+00,1.6696790134754873e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.6349487144634964e+00,1.0212424394140018e+00
1.3884009181744894e+00,1.6703145296798787e+00,2.3778060134143554e-02,1.3728269419254891e-02,3,32;64;128,1.6282930475764303e+00,1.0258070758000186e+00
