figure,L,n,k,S_k_L,k_digitized,pdf_x,pdf_top,cluster_count
Yokota 2026 Fig. A.4,32,0,0.0000000000000000e+00,1.7976465563918973e+00,-4.7757657504580787e-05,198.044963,486.917313,1
Yokota 2026 Fig. A.4,32,1,2.7768018363489788e-01,1.7827602248202135e+00,2.7765108131235661e-01,204.836337,487.203132,1
Yokota 2026 Fig. A.4,32,2,5.5536036726979576e-01,1.7586309455718510e+00,5.5536185969659313e-01,211.628003,487.666418,1
Yokota 2026 Fig. A.4,32,3,8.3304055090469364e-01,1.7161530424702789e+00,8.3302488042332612e-01,218.418501,488.482000,1
Yokota 2026 Fig. A.4,32,4,1.1107207345395915e+00,1.6868379509940761e+00,1.1107356588075614e+00,225.210167,489.044853,1
Yokota 2026 Fig. A.4,32,5,1.3884009181744894e+00,1.6462055869500560e+00,1.3884464371917966e+00,232.001833,489.825000,1
Yokota 2026 Fig. A.4,32,6,1.6660811018093873e+00,1.5916172870575884e+00,1.6660975185041544e+00,238.792039,490.873103,1
Yokota 2026 Fig. A.4,32,7,1.9437612854442852e+00,1.5641629870278440e+00,1.9437963574740145e+00,245.583413,491.400230,1
Yokota 2026 Fig. A.4,32,8,2.2214414690791831e+00,1.5470040495092523e+00,2.2215071358582499e+00,252.375078,491.729684,1
Yokota 2026 Fig. A.4,32,9,2.4991216527140807e+00,1.5030924218505717e+00,2.4990746412699756e+00,259.163241,492.572793,1
Yokota 2026 Fig. A.4,32,10,2.7768018363489788e+00,1.4614991573055145e+00,2.7767376619967088e+00,265.953739,493.371390,1
Yokota 2026 Fig. A.4,32,11,3.0544820199838769e+00,1.4511427852387369e+00,3.0544484403809427e+00,272.745404,493.570234,1
Yokota 2026 Fig. A.4,32,12,3.3321622036187746e+00,1.4370800826679462e+00,3.3321472793508042e+00,279.536778,493.840239,1
Yokota 2026 Fig. A.4,32,13,3.6098423872536722e+00,1.4777124467119664e+00,3.6097983606631621e+00,286.326984,493.060092,1
Yokota 2026 Fig. A.4,32,14,3.8875225708885703e+00,1.5163162430315660e+00,3.8875091390473959e+00,293.118650,492.318894,1
Yokota 2026 Fig. A.4,32,15,4.1652027545234684e+00,1.6276129248743587e+00,4.1652199174316351e+00,299.910316,490.181982,1
Yokota 2026 Fig. A.4,32,16,4.4428829381583661e+00,1.8185118244144993e+00,4.4428829381583652e+00,306.700814,486.516697,1
Yokota 2026 Fig. A.4,32,17,4.7205631217932638e+00,2.2168584654571539e+00,4.7205937165426022e+00,313.492480,478.868385,1
Yokota 2026 Fig. A.4,32,18,4.9982433054281614e+00,2.9063122011485056e+00,4.9982806160980884e+00,320.283562,465.630777,1
Yokota 2026 Fig. A.4,32,19,5.2759234890630600e+00,4.1784529501933250e+00,5.2759436368248185e+00,327.074060,441.205497,1
Yokota 2026 Fig. A.4,32,20,5.5536036726979576e+00,6.0879757792064177e+00,5.5536066575515521e+00,333.864558,404.542392,1
Yokota 2026 Fig. A.4,32,21,5.8312838563328553e+00,7.1216301753262128e+00,5.8313651935932915e+00,340.657392,384.696083,1
Yokota 2026 Fig. A.4,32,22,6.1089640399677538e+00,5.2766249513830124e+00,6.1090282143200243e+00,347.447890,420.120441,1
Yokota 2026 Fig. A.4,32,23,6.3866442236026515e+00,2.7138728103289189e+00,6.3866912350467571e+00,354.238388,469.325640,1
Yokota 2026 Fig. A.4,32,24,6.6643244072375492e+00,1.3922685640638444e+00,6.6644258922597448e+00,361.030638,494.700627,1
Yokota 2026 Fig. A.4,32,25,6.9420045908724468e+00,8.5634537509437347e-01,6.9419933976714683e+00,367.818800,504.990427,1
Yokota 2026 Fig. A.4,32,26,7.2196847745073445e+00,6.3764137057966674e-01,7.2196564183982010e+00,374.609298,509.189574,1
Yokota 2026 Fig. A.4,32,27,7.4973649581422430e+00,5.6363677961060576e-01,7.4973194391249347e+00,381.399796,510.610473,1
Yokota 2026 Fig. A.4,32,28,7.7750451417771407e+00,5.3796700908279760e-01,7.7750779751666750e+00,388.192630,511.103336,1
Yokota 2026 Fig. A.4,32,29,8.0527253254120392e+00,5.3450471680126865e-01,8.0527409958934069e+00,394.983128,511.169813,1
Yokota 2026 Fig. A.4,32,30,8.3304055090469369e+00,5.3169827724267360e-01,8.3303801377913871e+00,401.773042,511.223697,1
Yokota 2026 Fig. A.4,32,31,8.6080856926818345e+00,5.4737773303743531e-01,8.6081386738331265e+00,408.565875,510.922649,1
Yokota 2026 Fig. A.4,32,32,8.8857658763167322e+00,5.6494848505647355e-01,8.8858016945598610e+00,415.356373,510.585288,1
Yokota 2026 Fig. A.4,64,0,0.0000000000000000e+00,1.8174289048022156e+00,-4.7757657504580787e-05,198.044963,486.537489,1
Yokota 2026 Fig. A.4,64,1,1.3884009181744894e-01,1.8170170903017691e+00,1.3878375270586310e-01,201.440212,486.545396,1
Yokota 2026 Fig. A.4,64,2,2.7768018363489788e-01,1.8223096692519469e+00,2.7765108131235661e-01,204.836337,486.443777,1
Yokota 2026 Fig. A.4,64,3,4.1652027545234682e-01,1.8167120425236600e+00,4.1643483401821851e-01,208.230418,486.551253,1
Yokota 2026 Fig. A.4,64,4,5.5536036726979576e-01,1.8134937884646183e+00,5.5536185969659313e-01,211.628003,486.613044,1
Yokota 2026 Fig. A.4,64,5,6.9420045908724470e-01,1.7911032815514736e+00,6.9414561240245498e-01,215.022084,487.042944,1
Yokota 2026 Fig. A.4,64,6,8.3304055090469364e-01,1.7796639898724154e+00,8.3302488042332612e-01,218.418501,487.262580,1
Yokota 2026 Fig. A.4,64,7,9.7188064272214258e-01,1.7489151738391042e+00,9.7185639078669150e-01,221.813750,487.852962,1
Yokota 2026 Fig. A.4,64,8,1.1107207345395915e+00,1.7334797562668238e+00,1.1107356588075614e+00,225.210167,488.149324,1
Yokota 2026 Fig. A.4,64,9,1.2495608263570404e+00,1.7080387715725998e+00,1.2495194115134243e+00,228.604248,488.637795,1
Yokota 2026 Fig. A.4,64,10,1.3884009181744894e+00,1.6937472831682279e+00,1.3884464371917966e+00,232.001833,488.912193,1
Yokota 2026 Fig. A.4,64,11,1.5272410099919385e+00,1.6649050157480907e+00,1.5271824322401550e+00,235.394746,489.465969,1
Yokota 2026 Fig. A.4,64,12,1.6660811018093873e+00,1.6333325707138893e+00,1.6660975185041544e+00,238.792039,490.072164,1
Yokota 2026 Fig. A.4,64,13,1.8049211936268361e+00,1.6414315892226623e+00,1.8049170894531446e+00,242.186996,489.916662,1
Yokota 2026 Fig. A.4,64,14,1.9437612854442852e+00,1.6118877119128785e+00,1.9437963574740145e+00,245.583413,490.483908,1
Yokota 2026 Fig. A.4,64,15,2.0826013772617342e+00,1.5862636985517860e+00,2.0825801101798773e+00,248.977494,490.975893,1
Yokota 2026 Fig. A.4,64,16,2.2214414690791831e+00,1.5589771748000036e+00,2.2215071358582499e+00,252.375078,491.499798,1
Yokota 2026 Fig. A.4,64,17,2.3602815608966319e+00,1.5514119899029182e+00,2.3602431309066105e+00,255.767992,491.645051,1
Yokota 2026 Fig. A.4,64,18,2.4991216527140807e+00,1.5294180451013166e+00,2.4990746412699756e+00,259.163241,492.067338,1
Yokota 2026 Fig. A.4,64,19,2.6379617445315300e+00,1.5216850839262719e+00,2.6380016669483477e+00,262.560825,492.215812,1
Yokota 2026 Fig. A.4,64,20,2.7768018363489788e+00,1.4891517383910244e+00,2.7767376619967088e+00,265.953739,492.840456,1
Yokota 2026 Fig. A.4,64,21,2.9156419281664276e+00,1.4824711920504539e+00,2.9156646876750814e+00,269.351323,492.968724,1
Yokota 2026 Fig. A.4,64,22,3.0544820199838769e+00,1.4925377687280283e+00,3.0544484403809427e+00,272.745404,492.775444,1
Yokota 2026 Fig. A.4,64,23,3.1933221118013257e+00,1.4898075911139583e+00,3.1933277084018141e+00,276.141821,492.827864,1
Yokota 2026 Fig. A.4,64,24,3.3321622036187746e+00,1.4811137294378736e+00,3.3321472793508042e+00,279.536778,492.994787,1
Yokota 2026 Fig. A.4,64,25,3.4710022954362234e+00,1.5032144409618153e+00,3.4710623656148014e+00,282.934071,492.570450,1
Yokota 2026 Fig. A.4,64,26,3.6098423872536722e+00,1.4995691200134209e+00,3.6097983606631621e+00,286.326984,492.640441,1
Yokota 2026 Fig. A.4,64,27,3.7486824790711215e+00,1.5307907601028032e+00,3.7487253863415342e+00,289.724569,492.040981,1
Yokota 2026 Fig. A.4,64,28,3.8875225708885703e+00,1.5391948263896853e+00,3.8875091390473959e+00,293.118650,491.879622,1
Yokota 2026 Fig. A.4,64,29,4.0263626627060196e+00,1.5795831522112151e+00,4.0263884070682670e+00,296.515067,491.104160,1
Yokota 2026 Fig. A.4,64,30,4.1652027545234684e+00,1.6288636207646017e+00,4.1652199174316351e+00,299.910316,490.157969,1
Yokota 2026 Fig. A.4,64,31,4.3040428463409173e+00,1.7394434403288417e+00,4.3040991854525039e+00,303.306733,488.034821,1
Yokota 2026 Fig. A.4,64,32,4.4428829381583661e+00,1.8427478703852020e+00,4.4428829381583652e+00,306.700814,486.051361,1
Yokota 2026 Fig. A.4,64,33,4.5817230299758149e+00,2.0070160988964916e+00,4.5817144485217316e+00,310.096063,482.897388,1
Yokota 2026 Fig. A.4,64,34,4.7205631217932638e+00,2.2223950826298191e+00,4.7205937165426022e+00,313.492480,478.762082,1
Yokota 2026 Fig. A.4,64,35,4.8594032136107126e+00,2.5211283717312236e+00,4.8593774692484670e+00,316.886561,473.026361,1
Yokota 2026 Fig. A.4,64,36,4.9982433054281614e+00,2.9514745246974323e+00,4.9982806160980884e+00,320.283562,464.763654,1
Yokota 2026 Fig. A.4,64,37,5.1370833972456111e+00,3.5190311682567259e+00,5.1370166111464464e+00,323.676475,453.866487,1
Yokota 2026 Fig. A.4,64,38,5.2759234890630600e+00,4.1916157618186949e+00,5.2759436368248185e+00,327.074060,440.952769,1
Yokota 2026 Fig. A.4,64,39,5.4147635808805088e+00,5.1331609813387029e+00,5.4147273895306807e+00,330.468141,422.874969,1
Yokota 2026 Fig. A.4,64,40,5.5536036726979576e+00,6.1197922624631094e+00,5.5536066575515521e+00,333.864558,403.931511,1
Yokota 2026 Fig. A.4,64,41,5.6924437645154065e+00,6.8496495763648975e+00,5.6924381679149194e+00,337.259807,389.918148,1
Yokota 2026 Fig. A.4,64,42,5.8312838563328553e+00,7.1828227596147256e+00,5.8313651935932915e+00,340.657392,383.521176,1
Yokota 2026 Fig. A.4,64,43,5.9701239481503041e+00,6.5336353306336639e+00,5.9701011886416504e+00,344.050305,395.985666,1
Yokota 2026 Fig. A.4,64,44,6.1089640399677538e+00,5.3098751591968094e+00,6.1090282143200243e+00,347.447890,419.482032,1
Yokota 2026 Fig. A.4,64,45,6.2478041317852027e+00,3.9659871727409333e+00,6.2478119670258847e+00,350.841971,445.284870,1
