mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
0,2.4543692606170259e-02,2.4543692606170259e-02,3.4710022954362235e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.4763517762272659e-01,4.4392237318023253e-01,1.8447293799217397e-03,3.0176515977521621e-03,10,1152
1,4.9087385212340517e-02,4.9087385212340517e-02,6.9420045908724470e-02,1.0000000000000000e+02,5.0000000000000000e+03,4.2431419909878554e-01,4.2381272810803267e-01,1.7362503124113346e-03,1.4041153336105193e-03,10,1152
2,7.3631077818510776e-02,7.3631077818510776e-02,1.0413006886308671e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.2592188873508091e-01,4.2296915093726373e-01,1.7085488570167274e-03,2.0811023598439017e-03,10,1152
3,9.8174770424681035e-02,9.8174770424681035e-02,1.3884009181744894e-01,1.0000000000000000e+02,5.0000000000000000e+03,4.0234812709634021e-01,4.0358362415533150e-01,1.6413674579428938e-03,2.0009144482019165e-03,10,1152
4,1.2271846303085129e-01,1.2271846303085129e-01,1.7355011477181118e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9145130522253696e-01,3.9293868545392729e-01,1.6475246006387198e-03,9.7974941285053764e-04,10,1152
5,1.4726215563702155e-01,1.4726215563702155e-01,2.0826013772617341e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.9484902590080467e-01,3.9522175991367620e-01,1.5984092175507377e-03,6.0201449871171591e-04,10,1152
6,1.7180584824319181e-01,1.7180584824319181e-01,2.4297016068053565e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7832417898499177e-01,3.8143576338386065e-01,1.5719277104846116e-03,1.6967804081514761e-03,10,1152
7,1.9634954084936207e-01,1.9634954084936207e-01,2.7768018363489788e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.8507443007630116e-01,3.8614896226490042e-01,1.6097903695368363e-03,1.1775628947724884e-03,10,1152
8,2.2089323345553233e-01,2.2089323345553233e-01,3.1239020658926009e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7906384661137177e-01,3.7928843407377777e-01,1.5432592705356453e-03,9.9509188046959266e-04,10,1152
9,2.4543692606170259e-01,2.4543692606170259e-01,3.4710022954362235e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6921760708537060e-01,3.6919070358719275e-01,1.4802543185296517e-03,9.6892385519064021e-04,10,1152
10,2.6998061866787282e-01,2.6998061866787282e-01,3.8181025249798456e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.7146001761369202e-01,3.7157613666120709e-01,1.6390524316810401e-03,7.1379969744979040e-04,10,1152
11,2.9452431127404310e-01,2.9452431127404310e-01,4.1652027545234682e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6401778265328638e-01,3.6421702437506587e-01,1.5612186311530453e-03,8.2339985432465968e-04,10,1152
12,3.1906800388021339e-01,3.1906800388021339e-01,4.5123029840670908e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.6100153301158600e-01,3.6230151314393788e-01,1.5046678615597672e-03,1.0600937685393309e-03,10,1152
13,3.4361169648638362e-01,3.4361169648638362e-01,4.8594032136107129e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.5790073577652481e-01,3.5393319927884248e-01,1.4528459800200117e-03,2.2619894310922967e-03,10,1152
14,3.6815538909255385e-01,3.6815538909255385e-01,5.2065034431543344e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.5485554395932273e-01,3.5614129960428931e-01,1.5040170705291006e-03,1.1491795433860191e-03,10,1152
15,3.9269908169872414e-01,3.9269908169872414e-01,5.5536036726979576e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.4570962324284532e-01,3.4600547301410278e-01,1.4852950166363967e-03,5.8759154954207986e-04,10,1152
16,4.1724277430489443e-01,4.1724277430489443e-01,5.9007039022415808e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.5054781543334668e-01,3.5146132271749114e-01,1.4071281626624609e-03,7.7413861030968415e-04,10,1152
17,4.4178646691106466e-01,4.4178646691106466e-01,6.2478041317852018e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.4760475955947073e-01,3.5003056562545065e-01,1.5008489617973524e-03,2.1335183092799511e-03,10,1152
18,4.6633015951723489e-01,4.6633015951723489e-01,6.5949043613288238e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.4289936164110113e-01,3.4429669288266074e-01,1.4132259465100955e-03,1.0901986954997465e-03,10,1152
19,4.9087385212340517e-01,4.9087385212340517e-01,6.9420045908724470e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.4560554585080883e-01,3.4717212428177441e-01,1.4280630914757925e-03,1.1257312294340599e-03,10,1152
20,5.1541754472957546e-01,5.1541754472957546e-01,7.2891048204160702e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.3960546384028334e-01,3.3757868460026419e-01,1.4041286414335397e-03,1.1249855457621427e-03,10,1152
21,5.3996123733574564e-01,5.3996123733574564e-01,7.6362050499596912e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.3367550788555117e-01,3.3360626716024300e-01,1.3689815658109320e-03,1.0862487472994521e-03,10,1152
22,5.6450492994191592e-01,5.6450492994191592e-01,7.9833052795033133e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.3125038966899228e-01,3.3144829633820871e-01,1.3726668539720901e-03,8.0802537888675897e-04,10,1152
23,5.8904862254808621e-01,5.8904862254808621e-01,8.3304055090469364e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.3378943135235706e-01,3.3538360879548323e-01,1.3691165578453850e-03,7.8696530632872729e-04,10,1152
24,6.1359231515425650e-01,6.1359231515425650e-01,8.6775057385905596e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.3058342512657068e-01,3.2911967107420403e-01,1.3493267530086915e-03,1.0201224526519140e-03,10,1152
25,6.3813600776042678e-01,6.3813600776042678e-01,9.0246059681341817e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.2823784393951294e-01,3.2736082970213876e-01,1.3803138486581466e-03,8.9930522113326338e-04,10,1152
26,6.6267970036659696e-01,6.6267970036659696e-01,9.3717061976778027e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.2064792870592385e-01,3.2025391391529312e-01,1.3375388434125625e-03,1.0881929706705385e-03,10,1152
27,6.8722339297276724e-01,6.8722339297276724e-01,9.7188064272214258e-01,1.0000000000000000e+02,5.0000000000000000e+03,3.2438355382543160e-01,3.2164268414069996e-01,1.3902083553546151e-03,1.9592764925303267e-03,10,1152
28,7.1176708557893753e-01,7.1176708557893753e-01,1.0065906656765049e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.2703830684172241e-01,3.2541455667903979e-01,1.3853622917325372e-03,1.6267187388808409e-03,10,1152
29,7.3631077818510771e-01,7.3631077818510771e-01,1.0413006886308669e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.1955446617887101e-01,3.2112386984995867e-01,1.3452261812134164e-03,7.9453144091151196e-04,10,1152
30,7.6085447079127799e-01,7.6085447079127799e-01,1.0760107115852293e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.1801044635296033e-01,3.1728867272181155e-01,1.3547229753979447e-03,1.1855266779421355e-03,10,1152
