comparison,quantity,baseline_window,comparison_window,baseline_mean,comparison_mean,relative_change
segment2_vs_segment1,E_K,segment_001_all,segment_002_all,1.3052359712562060e+05,1.3055626676522815e+05,2.5029680706787689e-04
segment2_vs_segment1,psi2,segment_001_all,segment_002_all,1.5789120998289997e+06,2.6243371227940614e+06,6.6211730410976266e-01
segment2_vs_segment1,dissipation,segment_001_all,segment_002_all,9.7576260807793868e-09,1.0604765130191001e-08,8.6818150480301004e-02
segment2_vs_segment1,production,segment_001_all,segment_002_all,9.7683737402604357e-09,1.0605937354809494e-08,8.5742380136115487e-02
segment2_vs_segment1,length,segment_001_all,segment_002_all,2.9930575284467488e+02,3.7829289516185906e+02,2.6390118320971484e-01
segment3_vs_segment2,E_K,segment_002_all,segment_003_all,1.3055626676522815e+05,1.3056190305560589e+05,4.3171350693329401e-05
segment3_vs_segment2,psi2,segment_002_all,segment_003_all,2.6243371227940614e+06,3.6289485268512703e+06,3.8280577420161099e-01
segment3_vs_segment2,dissipation,segment_002_all,segment_003_all,1.0604765130191001e-08,1.0905732524386132e-08,2.8380392257655814e-02
segment3_vs_segment2,production,segment_002_all,segment_003_all,1.0605937354809494e-08,1.0912628021205335e-08,2.8916884584158389e-02
segment3_vs_segment2,length,segment_002_all,segment_003_all,3.7829289516185906e+02,4.3562780931618886e+02,1.5156222833579275e-01
segment3_last_half_vs_first_half,E_K,segment_003_first_half,segment_003_last_half,1.3056288573068703e+05,1.3056092038052474e+05,-1.5052900763468354e-05
segment3_last_half_vs_first_half,psi2,segment_003_first_half,segment_003_last_half,3.3472376655997490e+06,3.9106593881027917e+06,1.6832438529640242e-01
segment3_last_half_vs_first_half,dissipation,segment_003_first_half,segment_003_last_half,1.0806838049929049e-08,1.1004626998843213e-08,1.8302203475276727e-02
segment3_last_half_vs_first_half,production,segment_003_first_half,segment_003_last_half,1.0817028822804583e-08,1.1008227219606084e-08,1.7675685249022785e-02
segment3_last_half_vs_first_half,length,segment_003_first_half,segment_003_last_half,4.1923212875419756e+02,4.5202348987818004e+02,7.8217671964756735e-02
segment3_last_quarter_vs_previous,E_K,segment_003_q3,segment_003_q4,1.3056237047162108e+05,1.3055947052699246e+05,-2.2211182426779610e-05
segment3_last_quarter_vs_previous,psi2,segment_003_q3,segment_003_q4,3.9091971595708951e+06,3.9121213770821760e+06,7.4803531055514505e-04
segment3_last_quarter_vs_previous,dissipation,segment_003_q3,segment_003_q4,1.1038180798717388e-08,1.0971078695987370e-08,-6.0790907445378200e-03
segment3_last_quarter_vs_previous,production,segment_003_q3,segment_003_q4,1.1047085050788336e-08,1.0969375754385689e-08,-7.0343711526961953e-03
segment3_last_quarter_vs_previous,length,segment_003_q3,segment_003_q4,4.5179247360912194e+02,4.5225446830053619e+02,1.0225816462227128e-03
