k,count,Spsi_mean,Spsi_sem
3.8349519697141029e-04,8.0000000000000000e+00,2.0129646267872097e-03,4.7818355987563671e-04
7.6699039394282058e-04,1.2000000000000000e+01,1.6889850915511280e-04,4.0879437394133051e-05
1.1504855909142309e-03,1.6000000000000000e+01,4.8146524784488668e-05,5.5850293502505759e-06
1.5339807878856412e-03,3.2000000000000000e+01,1.5133633305379230e-05,8.3076338306358253e-07
1.9174759848570515e-03,2.8000000000000000e+01,6.2848151408938669e-06,2.9560525305439547e-07
2.3009711818284618e-03,4.0000000000000000e+01,4.1883235301758955e-06,1.6568237358398193e-07
2.6844663787998720e-03,4.0000000000000000e+01,2.4381229012808515e-06,9.0730523432770570e-08
3.0679615757712823e-03,4.8000000000000000e+01,1.6239157815154534e-06,1.0698924011242007e-07
3.4514567727426926e-03,6.8000000000000000e+01,1.0690664950018171e-06,5.6265395559114270e-08
3.8349519697141029e-03,5.6000000000000000e+01,7.7122662939834282e-07,1.7810970333768886e-08
4.2184471666855128e-03,7.2000000000000000e+01,5.2895167968764092e-07,1.9072810636754726e-08
4.6019423636569235e-03,6.8000000000000000e+01,4.0200095776439695e-07,1.0456826148211353e-08
4.9854375606283342e-03,8.8000000000000000e+01,3.1475167339504300e-07,7.7479303613288103e-09
5.3689327575997441e-03,8.8000000000000000e+01,2.4616283493533400e-07,5.7819229980851873e-09
5.7524279545711540e-03,8.4000000000000000e+01,1.9600924745940636e-07,5.1825284650215125e-09
6.1359231515425647e-03,1.1200000000000000e+02,1.6341967812485844e-07,4.8911052188599200e-09
6.5194183485139754e-03,1.1200000000000000e+02,1.3289900751379587e-07,2.9700125311912915e-09
6.9029135454853853e-03,1.1200000000000000e+02,1.1068891098885520e-07,3.5216771751476531e-09
7.2864087424567951e-03,1.1600000000000000e+02,9.4259289485591799e-08,3.0813435946058270e-09
7.6699039394282058e-03,1.1200000000000000e+02,8.0680830571136699e-08,2.9430831702308673e-09
8.0533991363996166e-03,1.4400000000000000e+02,7.1074737257973537e-08,2.2200262257323922e-09
8.4368943333710256e-03,1.4000000000000000e+02,6.1216409185380253e-08,2.0024991254092222e-09
8.8203895303424363e-03,1.4400000000000000e+02,5.3734016173496827e-08,1.3508440865495361e-09
9.2038847273138470e-03,1.4400000000000000e+02,4.7440556961818834e-08,1.5639562481620534e-09
9.5873799242852577e-03,1.6800000000000000e+02,4.2316955063905873e-08,1.2270484871096466e-09
9.9708751212566685e-03,1.6400000000000000e+02,3.7936434517602090e-08,1.1830362745423246e-09
1.0354370318228077e-02,1.6000000000000000e+02,3.3805953546924323e-08,9.0842868596228306e-10
1.0737865515199488e-02,1.8400000000000000e+02,3.0733781338574212e-08,9.4305266631542578e-10
1.1121360712170899e-02,1.7200000000000000e+02,2.7853770396385822e-08,8.2977514018837329e-10
1.1504855909142308e-02,2.0000000000000000e+02,2.5458009594273480e-08,8.1359316194389501e-10
1.1888351106113719e-02,1.9200000000000000e+02,2.3492561348366314e-08,6.8085514608177558e-10
1.2271846303085129e-02,1.8800000000000000e+02,2.1545011967505814e-08,5.7795497382599392e-10
1.2655341500056540e-02,2.0800000000000000e+02,2.0070856487489281e-08,5.8194250092775391e-10
1.3038836697027951e-02,2.2400000000000000e+02,1.8538695347203924e-08,5.1689505319938729e-10
1.3422331893999360e-02,2.2400000000000000e+02,1.7318938531037305e-08,4.9920125904163963e-10
1.3805827090970771e-02,2.2800000000000000e+02,1.6145209324910659e-08,4.7857973869072208e-10
1.4189322287942181e-02,2.2400000000000000e+02,1.5223993798442421e-08,4.6174192982987688e-10
1.4572817484913590e-02,2.4800000000000000e+02,1.4235325664031955e-08,4.0460522775666448e-10
1.4956312681885001e-02,2.3600000000000000e+02,1.3490642245486167e-08,3.7310970030449074e-10
1.5339807878856412e-02,2.6400000000000000e+02,1.2672812027827178e-08,3.5451838084829435e-10
1.5723303075827821e-02,2.4800000000000000e+02,1.2021476608160939e-08,3.6024872188156055e-10
1.6106798272799233e-02,2.6400000000000000e+02,1.1406329255394273e-08,3.3511857994195421e-10
1.6490293469770642e-02,2.7600000000000000e+02,1.0882339969449280e-08,3.0074145700710020e-10
1.6873788666742051e-02,2.6400000000000000e+02,1.0351122081299134e-08,2.9673953027534891e-10
1.7257283863713464e-02,2.8800000000000000e+02,9.9363126384144571e-09,2.8690092466746129e-10
1.7640779060684873e-02,2.7600000000000000e+02,9.4885113134454746e-09,2.6893893614350230e-10
1.8024274257656285e-02,3.0400000000000000e+02,9.1176565521715508e-09,2.4925563899109798e-10
1.8407769454627694e-02,3.0400000000000000e+02,8.7061691441090683e-09,2.5381234419865919e-10
1.8791264651599103e-02,3.1200000000000000e+02,8.3730129194761999e-09,2.3870083905856458e-10
1.9174759848570515e-02,3.1600000000000000e+02,8.0896292413166799e-09,2.3245124255839666e-10
1.9558255045541924e-02,3.2000000000000000e+02,7.7650594060159401e-09,2.1802002730575915e-10
1.9941750242513337e-02,3.4400000000000000e+02,7.4907242500676548e-09,2.2746380731724464e-10
2.0325245439484746e-02,3.1600000000000000e+02,7.2358622167594826e-09,2.1322399840101234e-10
2.0708740636456155e-02,3.3600000000000000e+02,7.0197735587741868e-09,1.9631743594726645e-10
2.1092235833427567e-02,3.5200000000000000e+02,6.8065598717049923e-09,1.8889191512338431e-10
2.1475731030398976e-02,3.4000000000000000e+02,6.5989903185277541e-09,1.8377837927576220e-10
2.1859226227370385e-02,3.7600000000000000e+02,6.4089484874331427e-09,1.8345994619652817e-10
2.2242721424341798e-02,3.3600000000000000e+02,6.2097578422947361e-09,1.8109356263733684e-10
2.2626216621313207e-02,3.9200000000000000e+02,6.0375108920558397e-09,1.7088597132830930e-10
2.3009711818284616e-02,3.8000000000000000e+02,5.8813326174471797e-09,1.6877454012470605e-10
2.3393207015256028e-02,3.6800000000000000e+02,5.7099780005713923e-09,1.6295654791133192e-10
2.3776702212227437e-02,4.0000000000000000e+02,5.5937585538857126e-09,1.6172909741057289e-10
2.4160197409198850e-02,3.6400000000000000e+02,5.4444406156544937e-09,1.5596937772973703e-10
2.4543692606170259e-02,4.4000000000000000e+02,5.3183800761069844e-09,1.5326626702164013e-10
2.4927187803141668e-02,4.0000000000000000e+02,5.1889645431109533e-09,1.4819595143215763e-10
2.5310683000113080e-02,4.2400000000000000e+02,5.0699096214118764e-09,1.4609401732686982e-10
2.5694178197084489e-02,4.2000000000000000e+02,4.9616929497219529e-09,1.4266682215149745e-10
2.6077673394055902e-02,4.1600000000000000e+02,4.8462381218627366e-09,1.3793473919815937e-10
2.6461168591027311e-02,4.4800000000000000e+02,4.7512972346427685e-09,1.3164626359673474e-10
2.6844663787998720e-02,4.2800000000000000e+02,4.6565758451837876e-09,1.3378819782169255e-10
2.7228158984970132e-02,4.3200000000000000e+02,4.5689642974953290e-09,1.3261936776877932e-10
2.7611654181941541e-02,4.8000000000000000e+02,4.4825120372398882e-09,1.2633985197773480e-10
2.7995149378912950e-02,4.4400000000000000e+02,4.3900338945153492e-09,1.2811809654930085e-10
2.8378644575884363e-02,4.7200000000000000e+02,4.3128792819297687e-09,1.2350755392041431e-10
2.8762139772855772e-02,4.5600000000000000e+02,4.2357894010588058e-09,1.2087233583064609e-10
2.9145634969827180e-02,4.8800000000000000e+02,4.1688015903212817e-09,1.2054391590759756e-10
2.9529130166798593e-02,5.0000000000000000e+02,4.0936127388810398e-09,1.1687499029133221e-10
2.9912625363770002e-02,4.7200000000000000e+02,4.0229783041153389e-09,1.1128744903686274e-10
3.0296120560741414e-02,4.9600000000000000e+02,3.9661715478046493e-09,1.1334614781582501e-10
3.0679615757712823e-02,4.9200000000000000e+02,3.8983008853413325e-09,1.1200845534338593e-10
3.1063110954684232e-02,5.3600000000000000e+02,3.8366854509533171e-09,1.0922379418209218e-10
3.1446606151655641e-02,5.1200000000000000e+02,3.7741783614986280e-09,1.0758626779453360e-10
3.1830101348627057e-02,5.1200000000000000e+02,3.7167613366268353e-09,1.0522164111908509e-10
3.2213596545598466e-02,5.1600000000000000e+02,3.6637543467473687e-09,1.0449043837264447e-10
3.2597091742569875e-02,5.5200000000000000e+02,3.6189319669228215e-09,1.0232076668463661e-10
3.2980586939541284e-02,5.4400000000000000e+02,3.5633756507238711e-09,1.0137808728001079e-10
3.3364082136512693e-02,5.4000000000000000e+02,3.5160215994006991e-09,1.0030228830626713e-10
3.3747577333484102e-02,5.3600000000000000e+02,3.4716291817905635e-09,9.8413156553714895e-11
3.4131072530455518e-02,5.8400000000000000e+02,3.4248985244741120e-09,9.7843015478035686e-11
3.4514567727426927e-02,5.5600000000000000e+02,3.3755732809782621e-09,9.5386364529423575e-11
3.4898062924398336e-02,5.7600000000000000e+02,3.3397676107020024e-09,9.5135216303984763e-11
3.5281558121369745e-02,5.6800000000000000e+02,3.2974341257395974e-09,9.4667667850066165e-11
3.5665053318341154e-02,5.9200000000000000e+02,3.2569186729655447e-09,9.3310308273563966e-11
3.6048548515312570e-02,5.8000000000000000e+02,3.2169904713955777e-09,9.2435291377614291e-11
3.6432043712283979e-02,5.9200000000000000e+02,3.1830666142425501e-09,9.1427551829490530e-11
3.6815538909255388e-02,6.0000000000000000e+02,3.1440226276954335e-09,8.8987515669908803e-11
3.7199034106226797e-02,6.1200000000000000e+02,3.1080956717605203e-09,8.9341385200327082e-11
3.7582529303198206e-02,6.6400000000000000e+02,3.0742317297215934e-09,8.8144001156625946e-11
3.7966024500169622e-02,5.9200000000000000e+02,3.0353996635537791e-09,8.6349150098793339e-11
3.8349519697141031e-02,6.4000000000000000e+02,3.0068077301822865e-09,8.6047731157081965e-11
3.8733014894112440e-02,5.9600000000000000e+02,2.9714523474132805e-09,8.5334555841230925e-11
3.9116510091083849e-02,6.6400000000000000e+02,2.9428795884797178e-09,8.4306252846910704e-11
3.9500005288055258e-02,6.7200000000000000e+02,2.9182379931518377e-09,8.3205056947688645e-11
3.9883500485026674e-02,6.2000000000000000e+02,2.8805833043694896e-09,8.3006381599810005e-11
4.0266995681998083e-02,6.6400000000000000e+02,2.8594241289659420e-09,8.1604283668863211e-11
4.0650490878969492e-02,6.5600000000000000e+02,2.8263248866584040e-09,8.1636269669825114e-11
4.1033986075940901e-02,6.8000000000000000e+02,2.8043876664020198e-09,8.0075476483877945e-11
4.1417481272912310e-02,6.9200000000000000e+02,2.7760975530694216e-09,7.9758208502115813e-11
4.1800976469883719e-02,6.7200000000000000e+02,2.7420044899869245e-09,7.8799415838702418e-11
4.2184471666855135e-02,7.2000000000000000e+02,2.7272155155757330e-09,7.8573444745377262e-11
4.2567966863826544e-02,6.6800000000000000e+02,2.6954488915805412e-09,7.6898717097924914e-11
4.2951462060797953e-02,7.0400000000000000e+02,2.6790302713619071e-09,7.6746909481230648e-11
4.3334957257769362e-02,7.0400000000000000e+02,2.6506390078125649e-09,7.6198266847311281e-11
4.3718452454740771e-02,7.1600000000000000e+02,2.6241051144660071e-09,7.5199962517852170e-11
4.4101947651712187e-02,7.4400000000000000e+02,2.6100417257002964e-09,7.5470060146166234e-11
4.4485442848683596e-02,7.2800000000000000e+02,2.5795690706223109e-09,7.3882841004199234e-11
4.4868938045655005e-02,7.2800000000000000e+02,2.5643726182477965e-09,7.3112726498644652e-11
4.5252433242626414e-02,7.2400000000000000e+02,2.5422695003611061e-09,7.2513936202248078e-11
4.5635928439597823e-02,7.3600000000000000e+02,2.5203151988691514e-09,7.2317082787539311e-11
4.6019423636569232e-02,7.7600000000000000e+02,2.5061435420152517e-09,7.1783990139188944e-11
4.6402918833540648e-02,7.7200000000000000e+02,2.4763937016111877e-09,7.0803298764717459e-11
4.6786414030512057e-02,7.6800000000000000e+02,2.4626602571761553e-09,7.0255908322786711e-11
4.7169909227483466e-02,7.9200000000000000e+02,2.4426712998355509e-09,6.9814415028920572e-11
4.7553404424454875e-02,7.6000000000000000e+02,2.4244486276554580e-09,6.9560241378044268e-11
4.7936899621426284e-02,7.8000000000000000e+02,2.4084354331078289e-09,6.9059626550506129e-11
4.8320394818397699e-02,7.7600000000000000e+02,2.3859610724778318e-09,6.8416155312582072e-11
4.8703890015369108e-02,8.3200000000000000e+02,2.3752976581560777e-09,6.8374691390027801e-11
4.9087385212340517e-02,7.8800000000000000e+02,2.3545579324570183e-09,6.7254923513650072e-11
4.9470880409311926e-02,8.1600000000000000e+02,2.3404314160714584e-09,6.6552620091638499e-11
4.9854375606283335e-02,8.0000000000000000e+02,2.3220375287260822e-09,6.6497261323564071e-11
5.0237870803254751e-02,8.1200000000000000e+02,2.3037912682995115e-09,6.6169966433879815e-11
5.0621366000226160e-02,8.4800000000000000e+02,2.2961126636006416e-09,6.5732436178427342e-11
5.1004861197197569e-02,8.3200000000000000e+02,2.2743425202267619e-09,6.5305630091398639e-11
5.1388356394168978e-02,8.5600000000000000e+02,2.2600645930335510e-09,6.4819269142021664e-11
5.1771851591140387e-02,8.2800000000000000e+02,2.2449726435108777e-09,6.3919788111413155e-11
5.2155346788111803e-02,8.8000000000000000e+02,2.2320434579041909e-09,6.3998078445028625e-11
5.2538841985083212e-02,8.4800000000000000e+02,2.2178095689369912e-09,6.3434185550820138e-11
5.2922337182054621e-02,8.4400000000000000e+02,2.2001179901119452e-09,6.2743754129446867e-11
5.3305832379026030e-02,8.8800000000000000e+02,2.1887868839366402e-09,6.2805748045759724e-11
5.3689327575997439e-02,8.9600000000000000e+02,2.1762151187992290e-09,6.2407979457949014e-11
5.4072822772968848e-02,8.8800000000000000e+02,2.1629998338927959e-09,6.1838038285452993e-11
5.4456317969940264e-02,8.7600000000000000e+02,2.1478372366848996e-09,6.1393214735128853e-11
5.4839813166911673e-02,8.6400000000000000e+02,2.1340196070537086e-09,6.1130076332779716e-11
5.5223308363883082e-02,9.3600000000000000e+02,2.1266401361010890e-09,6.0785403532383323e-11
5.5606803560854491e-02,9.3200000000000000e+02,2.1102390866796720e-09,6.0499429828867684e-11
5.5990298757825900e-02,9.2000000000000000e+02,2.1013769734715587e-09,6.0028805692408127e-11
5.6373793954797316e-02,9.0400000000000000e+02,2.0842712753699349e-09,5.9740038312248275e-11
5.6757289151768725e-02,9.4400000000000000e+02,2.0731976802597333e-09,5.9468680747460360e-11
5.7140784348740134e-02,9.5600000000000000e+02,2.0669186264418363e-09,5.9055545762093022e-11
5.7524279545711543e-02,9.1200000000000000e+02,2.0491507225926545e-09,5.8706711364347318e-11
5.7907774742682952e-02,9.6800000000000000e+02,2.0450005872740302e-09,5.8479425592205354e-11
5.8291269939654361e-02,9.1600000000000000e+02,2.0256101347845996e-09,5.7748584242752873e-11
5.8674765136625777e-02,9.9200000000000000e+02,2.0222138998669982e-09,5.7891772998886734e-11
5.9058260333597186e-02,9.6000000000000000e+02,2.0085181086189339e-09,5.7124862926889604e-11
5.9441755530568595e-02,9.4800000000000000e+02,1.9963100631707450e-09,5.7097535090441790e-11
5.9825250727540004e-02,9.9200000000000000e+02,1.9921846804617275e-09,5.7247521095462271e-11
6.0208745924511413e-02,1.0080000000000000e+03,1.9758238620828492e-09,5.6288399135054787e-11
6.0592241121482829e-02,1.0080000000000000e+03,1.9688301958530522e-09,5.6416514289173678e-11
6.0975736318454238e-02,9.7200000000000000e+02,1.9565671051188888e-09,5.5882365384843900e-11
6.1359231515425647e-02,9.7600000000000000e+02,1.9455595696292308e-09,5.6007094654723457e-11
6.1742726712397056e-02,1.0480000000000000e+03,1.9451592204997624e-09,5.5686481744329609e-11
6.2126221909368465e-02,1.0040000000000000e+03,1.9263012696812773e-09,5.5082956147643163e-11
6.2509717106339874e-02,1.0480000000000000e+03,1.9212820279677806e-09,5.4813312722996667e-11
