comparison,quantity,baseline_window,comparison_window,baseline_mean,comparison_mean,relative_change
segment2_vs_segment1,E_K,segment_001_all,segment_002_all,1.3052359712562060e+05,1.3055626676522815e+05,2.5029680706787689e-04
segment2_vs_segment1,psi2,segment_001_all,segment_002_all,1.5789120998289997e+06,2.6243371227940614e+06,6.6211730410976266e-01
segment2_vs_segment1,dissipation,segment_001_all,segment_002_all,9.7576260807793868e-09,1.0604765130191001e-08,8.6818150480301004e-02
segment2_vs_segment1,production,segment_001_all,segment_002_all,9.7683737402604357e-09,1.0605937354809494e-08,8.5742380136115487e-02
segment2_vs_segment1,length,segment_001_all,segment_002_all,2.9930575284467488e+02,3.7829289516185906e+02,2.6390118320971484e-01
segment3_vs_segment2,E_K,segment_002_all,segment_003_all,1.3055626676522815e+05,1.3056190305560589e+05,4.3171350693329401e-05
segment3_vs_segment2,psi2,segment_002_all,segment_003_all,2.6243371227940614e+06,3.6289485268512703e+06,3.8280577420161099e-01
segment3_vs_segment2,dissipation,segment_002_all,segment_003_all,1.0604765130191001e-08,1.0905732524386132e-08,2.8380392257655814e-02
segment3_vs_segment2,production,segment_002_all,segment_003_all,1.0605937354809494e-08,1.0912628021205335e-08,2.8916884584158389e-02
segment3_vs_segment2,length,segment_002_all,segment_003_all,3.7829289516185906e+02,4.3562780931618886e+02,1.5156222833579275e-01
segment4_vs_segment3,E_K,segment_003_all,segment_004_all,1.3056190305560589e+05,1.3055698403388826e+05,-3.7675781391811892e-05
segment4_vs_segment3,psi2,segment_003_all,segment_004_all,3.6289485268512703e+06,4.6902926364184497e+06,2.9246601369903580e-01
segment4_vs_segment3,dissipation,segment_003_all,segment_004_all,1.0905732524386132e-08,1.1230902369625533e-08,2.9816414854508227e-02
segment4_vs_segment3,production,segment_003_all,segment_004_all,1.0912628021205335e-08,1.1234779526207975e-08,2.9520982881175700e-02
segment4_vs_segment3,length,segment_003_all,segment_004_all,4.3562780931618886e+02,4.7941369938306423e+02,1.0051215540074611e-01
segment4_last_half_vs_first_half,E_K,segment_004_first_half,segment_004_last_half,1.3055622672532854e+05,1.3055774134244797e+05,1.1601262976312160e-05
segment4_last_half_vs_first_half,psi2,segment_004_first_half,segment_004_last_half,4.3624390355074778e+06,5.0181462373294216e+06,1.5030747627299873e-01
segment4_last_half_vs_first_half,dissipation,segment_004_first_half,segment_004_last_half,1.1183551188881973e-08,1.1278253550369092e-08,8.4680044726103028e-03
segment4_last_half_vs_first_half,production,segment_004_first_half,segment_004_last_half,1.1183900368953196e-08,1.1285658683462755e-08,9.0986427947840915e-03
segment4_last_half_vs_first_half,length,segment_004_first_half,segment_004_last_half,4.6574205250030502e+02,4.9308534626582355e+02,5.8709093625383152e-02
segment4_last_quarter_vs_previous,E_K,segment_004_q3,segment_004_q4,1.3056409527290647e+05,1.3055138845293484e+05,-9.7322467904139602e-05
segment4_last_quarter_vs_previous,psi2,segment_004_q3,segment_004_q4,4.8304755778876040e+06,5.2057861512503596e+06,7.7696402209506910e-02
segment4_last_quarter_vs_previous,dissipation,segment_004_q3,segment_004_q4,1.1188105563682210e-08,1.1368386768381877e-08,1.6113648881261846e-02
segment4_last_quarter_vs_previous,production,segment_004_q3,segment_004_q4,1.1208989503330341e-08,1.1362315303113497e-08,1.3678824459385969e-02
segment4_last_quarter_vs_previous,length,segment_004_q3,segment_004_q4,4.8485776393781362e+02,5.0131158069371406e+02,3.3935347600230995e-02
