k,count,transfer_mean,transfer_std,transfer_sem,dissipation_mean,dissipation_std,dissipation_sem,production_mean,production_std,production_sem,total_mean,total_std,total_sem
3.8349519697141029e-04,8.0000000000000000e+00,-1.8425877695658976e-12,5.0622493376646483e-13,1.7897754173598907e-13,-1.4543493171470495e-10,3.4849938226879109e-11,1.2321313822079252e-11,1.4914942309378044e-10,3.6055288136983956e-11,1.2747469369648117e-11,1.8719036095096118e-12,8.7772373044767071e-12,3.1032220090395062e-12
7.6699039394282058e-04,1.2000000000000000e+01,-4.3538120245866613e-13,2.3715552088029866e-13,8.3847138505143523e-14,-6.0216991157826359e-11,9.3025729630072989e-12,3.2889562123125475e-12,6.0751587204062305e-11,9.6789791293130574e-12,3.4220358886501638e-12,9.9214843777288991e-14,6.7758800032784908e-13,2.3956353494122730e-13
1.1504855909142309e-03,1.6000000000000000e+01,-3.6038951870993472e-13,1.6379901340326937e-13,5.7911696564558972e-14,-4.0963447306588813e-11,2.4280179710980081e-12,8.5843398610310206e-13,4.1338104061974026e-11,2.5215980725953490e-12,8.9151954827954961e-13,1.4267236675285702e-14,1.0807664053597847e-13,3.8210862705425635e-14
1.5339807878856412e-03,3.2000000000000000e+01,-2.9060169132400923e-13,7.8345150891958416e-14,2.7699193734393542e-14,-4.6344197626290887e-11,1.7099231514252825e-12,6.0454912784034444e-13,4.6658424110148022e-11,1.6684224041889723e-12,5.8987639794279258e-13,2.3624792533135727e-14,8.9526932864343492e-14,3.1652550663605032e-14
1.9174759848570515e-03,2.8000000000000000e+01,-1.2938812998600082e-13,5.3277955977631619e-14,1.8836601979770834e-14,-2.5191975584666516e-11,9.9678036476513104e-13,3.5241507763951224e-13,2.5318226644291858e-11,1.0309522167994348e-12,3.6449665178909200e-13,-3.1370703606620660e-15,2.7992170970553015e-14,9.8967269567056285e-15
2.3009711818284618e-03,4.0000000000000000e+01,-7.7144607047263620e-14,3.7846890441692424e-14,1.3380896439072520e-14,-2.5094607244697300e-11,3.2380496538281024e-13,1.1448234340203020e-13,2.5168309980199680e-11,3.0309292927487127e-13,1.0715953280997806e-13,-3.4418715448836515e-15,1.9664225168734159e-14,6.9523534817955520e-15
2.6844663787998720e-03,4.0000000000000000e+01,-6.1315668403763543e-14,2.0631579110297739e-14,7.2943647477391243e-15,-1.8816190498739966e-11,4.1191641793728649e-13,1.4563444620276363e-13,1.8870470005382149e-11,4.0902830666907781e-13,1.4461334467147783e-13,-7.0361617615778709e-15,5.5161340695194157e-15,1.9502479032456626e-15
3.0679615757712823e-03,4.8000000000000000e+01,-4.9629533833485790e-14,1.2133917157907980e-14,4.2899875523562658e-15,-1.7441425380578764e-11,2.0526560431255464e-13,7.2572350376881005e-14,1.7493714851891267e-11,2.1463236312911780e-13,7.5883999715346346e-14,2.6599374790166281e-15,5.1066476553086252e-15,1.8054725930995560e-15
3.4514567727426926e-03,6.8000000000000000e+01,-4.4862905207803764e-14,1.9704551700604114e-14,6.9666110638690429e-15,-1.9492312708684191e-11,3.9907648682243901e-13,1.4109484502212523e-13,1.9540356724224569e-11,4.0590173062555130e-13,1.4350793311034132e-13,3.1811103325709412e-15,5.7322004936061572e-15,2.0266389200748944e-15
3.8349519697141029e-03,5.6000000000000000e+01,-2.1629721363884422e-14,1.2303572796586589e-14,4.3499698786443551e-15,-1.2894634911937790e-11,2.2429040762031493e-13,7.9298634091709782e-14,1.2917239428040954e-11,2.2139056638041962e-13,7.8273385389162597e-14,9.7479473928002809e-16,3.0127830049690505e-15,1.0651796465285996e-15
4.2184471666855128e-03,7.2000000000000000e+01,-1.6251117836703708e-14,9.2144480782232754e-15,3.2577993605015143e-15,-1.3808751831327679e-11,1.2922659223755942e-13,4.5688499840403560e-14,1.3826126482160736e-11,1.2780199525340895e-13,4.5184828746428214e-14,1.1235329963536835e-15,2.1630882316590657e-15,7.6476717845547150e-16
4.6019423636569235e-03,6.8000000000000000e+01,-6.3087910425721507e-15,7.1254289999228728e-15,2.5192195823543712e-15,-1.1019941230885235e-11,9.2207826425235237e-14,3.2600389671877983e-14,1.1025834587753131e-11,9.1728715146337120e-14,3.2430998254752075e-14,-4.1543417467487154e-16,1.5367546844888557e-15,5.4332482921113154e-16
4.9854375606283342e-03,8.8000000000000000e+01,-3.9404657393840115e-15,7.9079433356116479e-15,2.7958801789249809e-15,-1.2208531172687773e-11,1.5527658502810495e-13,5.4898563116431274e-14,1.2212285149122673e-11,1.5580914368731068e-13,5.5086851036083262e-14,-1.8648930448300948e-16,1.3349850430399805e-15,4.7198848835809260e-16
5.3689327575997441e-03,8.8000000000000000e+01,6.4085198675303608e-16,4.6249795610547281e-15,1.6351772052354900e-15,-1.0508596252875070e-11,5.9652625221681985e-14,2.1090387904915504e-14,1.0508282870115175e-11,6.1032436749971940e-14,2.1578224949122102e-14,3.2746922685852860e-16,1.1397886972196816e-15,4.0297615846190868e-16
5.7524279545711540e-03,8.4000000000000000e+01,5.4005525617868055e-15,4.7428218972893434e-15,1.6768407627666708e-15,-8.7775679512679186e-12,7.0476379547176777e-14,2.4917162945642800e-14,8.7719064386284326e-12,7.2375009629207827e-14,2.5588430048627264e-14,-2.6096007769991608e-16,8.5472614838140779e-16,3.0219132778897631e-16
6.1359231515425647e-03,1.1200000000000000e+02,7.9482411175708556e-15,6.2653440461878583e-15,2.2151336307630978e-15,-1.0288144979171527e-11,6.1457307674712691e-14,2.1728439505128697e-14,1.0279958666060078e-11,6.0057180752338565e-14,2.1233419884462398e-14,-2.3807199387712748e-16,5.6296900382339122e-16,1.9903960010067766e-16
6.5194183485139754e-03,1.1200000000000000e+02,8.8259573752069388e-15,4.3908829267714869e-15,1.5524115464581765e-15,-9.0079646392154140e-12,6.2553874442302854e-14,2.2116134403822104e-14,8.9990455983697445e-12,6.5238558255631452e-14,2.3065313468695309e-14,-9.3083470461961376e-17,6.3877599434854302e-16,2.2584141863151726e-16
6.9029135454853853e-03,1.1200000000000000e+02,1.2144225167586446e-14,3.0218152829516062e-15,1.0683730390341133e-15,-8.0610962362640927e-12,4.9718439821165294e-14,1.7578122973780630e-14,8.0489304467094436e-12,5.1244748318541795e-14,1.8117754518119415e-14,-2.1564387062042469e-17,4.0422796915004900e-16,1.4291616906563307e-16
