k,count,transfer_mean,dissipation_mean,production_mean,total_mean,transfer_sem,dissipation_sem,production_sem,total_sem
3.8349519697141029e-04,8.0000000000000000e+00,-1.8425877695658976e-12,-1.4543493171470495e-10,1.4914942309378044e-10,1.8719036095096118e-12,1.7897754173598907e-13,1.2321313822079252e-11,1.2747469369648117e-11,3.1032220090395062e-12
7.6699039394282058e-04,1.2000000000000000e+01,-4.3538120245866613e-13,-6.0216991157826359e-11,6.0751587204062305e-11,9.9214843777288991e-14,8.3847138505143523e-14,3.2889562123125475e-12,3.4220358886501638e-12,2.3956353494122730e-13
1.1504855909142309e-03,1.6000000000000000e+01,-3.6038951870993472e-13,-4.0963447306588813e-11,4.1338104061974026e-11,1.4267236675285702e-14,5.7911696564558972e-14,8.5843398610310206e-13,8.9151954827954961e-13,3.8210862705425635e-14
1.5339807878856412e-03,3.2000000000000000e+01,-2.9060169132400923e-13,-4.6344197626290887e-11,4.6658424110148022e-11,2.3624792533135727e-14,2.7699193734393542e-14,6.0454912784034444e-13,5.8987639794279258e-13,3.1652550663605032e-14
1.9174759848570515e-03,2.8000000000000000e+01,-1.2938812998600082e-13,-2.5191975584666516e-11,2.5318226644291858e-11,-3.1370703606620660e-15,1.8836601979770834e-14,3.5241507763951224e-13,3.6449665178909200e-13,9.8967269567056285e-15
2.3009711818284618e-03,4.0000000000000000e+01,-7.7144607047263620e-14,-2.5094607244697300e-11,2.5168309980199680e-11,-3.4418715448836515e-15,1.3380896439072520e-14,1.1448234340203020e-13,1.0715953280997806e-13,6.9523534817955520e-15
2.6844663787998720e-03,4.0000000000000000e+01,-6.1315668403763543e-14,-1.8816190498739966e-11,1.8870470005382149e-11,-7.0361617615778709e-15,7.2943647477391243e-15,1.4563444620276363e-13,1.4461334467147783e-13,1.9502479032456626e-15
3.0679615757712823e-03,4.8000000000000000e+01,-4.9629533833485790e-14,-1.7441425380578764e-11,1.7493714851891267e-11,2.6599374790166281e-15,4.2899875523562658e-15,7.2572350376881005e-14,7.5883999715346346e-14,1.8054725930995560e-15
3.4514567727426926e-03,6.8000000000000000e+01,-4.4862905207803764e-14,-1.9492312708684191e-11,1.9540356724224569e-11,3.1811103325709412e-15,6.9666110638690429e-15,1.4109484502212523e-13,1.4350793311034132e-13,2.0266389200748944e-15
3.8349519697141029e-03,5.6000000000000000e+01,-2.1629721363884422e-14,-1.2894634911937790e-11,1.2917239428040954e-11,9.7479473928002809e-16,4.3499698786443551e-15,7.9298634091709782e-14,7.8273385389162597e-14,1.0651796465285996e-15
4.2184471666855128e-03,7.2000000000000000e+01,-1.6251117836703708e-14,-1.3808751831327679e-11,1.3826126482160736e-11,1.1235329963536835e-15,3.2577993605015143e-15,4.5688499840403560e-14,4.5184828746428214e-14,7.6476717845547150e-16
4.6019423636569235e-03,6.8000000000000000e+01,-6.3087910425721507e-15,-1.1019941230885235e-11,1.1025834587753131e-11,-4.1543417467487154e-16,2.5192195823543712e-15,3.2600389671877983e-14,3.2430998254752075e-14,5.4332482921113154e-16
4.9854375606283342e-03,8.8000000000000000e+01,-3.9404657393840115e-15,-1.2208531172687773e-11,1.2212285149122673e-11,-1.8648930448300948e-16,2.7958801789249809e-15,5.4898563116431274e-14,5.5086851036083262e-14,4.7198848835809260e-16
5.3689327575997441e-03,8.8000000000000000e+01,6.4085198675303608e-16,-1.0508596252875070e-11,1.0508282870115175e-11,3.2746922685852860e-16,1.6351772052354900e-15,2.1090387904915504e-14,2.1578224949122102e-14,4.0297615846190868e-16
5.7524279545711540e-03,8.4000000000000000e+01,5.4005525617868055e-15,-8.7775679512679186e-12,8.7719064386284326e-12,-2.6096007769991608e-16,1.6768407627666708e-15,2.4917162945642800e-14,2.5588430048627264e-14,3.0219132778897631e-16
6.1359231515425647e-03,1.1200000000000000e+02,7.9482411175708556e-15,-1.0288144979171527e-11,1.0279958666060078e-11,-2.3807199387712748e-16,2.2151336307630978e-15,2.1728439505128697e-14,2.1233419884462398e-14,1.9903960010067766e-16
6.5194183485139754e-03,1.1200000000000000e+02,8.8259573752069388e-15,-9.0079646392154140e-12,8.9990455983697445e-12,-9.3083470461961376e-17,1.5524115464581765e-15,2.2116134403822104e-14,2.3065313468695309e-14,2.2584141863151726e-16
6.9029135454853853e-03,1.1200000000000000e+02,1.2144225167586446e-14,-8.0610962362640927e-12,8.0489304467094436e-12,-2.1564387062042469e-17,1.0683730390341133e-15,1.7578122973780630e-14,1.8117754518119415e-14,1.4291616906563307e-16
7.2864087424567951e-03,1.1600000000000000e+02,1.2791802491457508e-14,-7.4969275788475768e-12,7.4841768307292721e-12,4.1054373154121637e-17,1.4016536375602624e-15,1.4668246856808930e-14,1.4392471015985540e-14,1.1063247733360452e-16
7.6699039394282058e-03,1.1200000000000000e+02,1.1942967430369589e-14,-6.6099803781311406e-12,6.5979559836737840e-12,-8.1427026985947041e-17,9.8531715951930733e-16,6.5055059342887112e-15,6.0131772630183839e-15,1.5185661564964481e-16
8.0533991363996166e-03,1.4400000000000000e+02,1.7933828463388326e-14,-7.6993235999920824e-12,7.6812822539382100e-12,-1.0751759048449890e-16,1.5855660156586395e-15,1.1656796206451354e-14,1.1165515833823968e-14,1.5026359906152358e-16
8.4368943333710256e-03,1.4000000000000000e+02,1.6089682462846268e-14,-6.7954184123711347e-12,6.7794189813100249e-12,9.0251401736000422e-17,1.1973985541119475e-15,8.3906825126313178e-15,8.3453765243502632e-15,4.4408148517323908e-17
8.8203895303424363e-03,1.4400000000000000e+02,1.6316180125105729e-14,-6.3856856111122150e-12,6.3694698786702745e-12,1.0044768316507631e-16,1.2459482422812431e-15,8.6376100302654686e-15,9.4495251195432941e-15,5.3019947363366241e-17
9.2038847273138470e-03,1.4400000000000000e+02,1.6399081154183432e-14,-5.8840462376652552e-12,5.8677148071087100e-12,6.7650597638472419e-17,1.2578463407378549e-15,7.1176632597071038e-15,7.2436851056609953e-15,7.8397349531472494e-17
9.5873799242852577e-03,1.6800000000000000e+02,1.9846607119255486e-14,-6.3099300822694591e-12,6.2899976571161002e-12,-8.5818034103616408e-17,1.3778176603915618e-15,5.7187624249764464e-15,5.2188674558764836e-15,4.4760629300141097e-17
9.9708751212566685e-03,1.6400000000000000e+02,1.8650485923949273e-14,-5.6993971114228413e-12,5.6806748196006789e-12,-7.1805898212516748e-17,1.0193108359788372e-15,4.0313714325736867e-15,3.7242337469610130e-15,8.8117795637372882e-17
1.0354370318228077e-02,1.6000000000000000e+02,1.8210853456737069e-14,-5.1686669512790590e-12,5.1504206297968415e-12,-3.5468025480233397e-17,8.9313771127717919e-16,5.9888716347533464e-15,5.7599130259723117e-15,6.4386419581653911e-17
1.0737865515199488e-02,1.8400000000000000e+02,1.9834934255732049e-14,-5.5343871429833776e-12,5.5145002104798376e-12,-5.1998247807631276e-17,1.2732401237164787e-15,7.8966164101108838e-15,6.9196227127767799e-15,3.2941440565389200e-17
1.1121360712170899e-02,1.7200000000000000e+02,1.8391171463364878e-14,-4.8192564545015781e-12,4.8007923558448711e-12,-7.2927193341581561e-17,9.7744948581241179e-16,4.7291716078051121e-15,4.2220488373547035e-15,6.0011888282316841e-17
1.1504855909142308e-02,2.0000000000000000e+02,2.0752146240028609e-14,-5.2472229363598612e-12,5.2265197394954921e-12,4.8949375659668613e-17,1.0110191737180237e-15,3.7053275359478292e-15,3.8740549518350323e-15,3.3788713683779503e-17
1.1888351106113719e-02,1.9200000000000000e+02,1.9338000421860506e-14,-4.7044712444868016e-12,4.6851341125999392e-12,8.6853499816572073e-19,8.2398369673103304e-16,4.2999801787626094e-15,4.1754674355791900e-15,3.5473945328783431e-17
1.2271846303085129e-02,1.8800000000000000e+02,1.8463819013201327e-14,-4.3342174977625526e-12,4.3157515704659744e-12,-2.1082833772640724e-18,6.8526356188038808e-16,2.9380635679407299e-15,2.4233130675625848e-15,4.0687367256350493e-17
1.2655341500056540e-02,2.0800000000000000e+02,1.9926482126178992e-14,-4.5165222638167975e-12,4.4965557316546853e-12,-4.0050035932370800e-17,8.5991458535967548e-16,3.5977962552210594e-15,3.6364838629148974e-15,4.1839879808444434e-17
1.3038836697027951e-02,2.2400000000000000e+02,2.0741890111138295e-14,-4.5800855121839095e-12,4.5593063885236164e-12,-3.7233549154959742e-17,7.7998442988479258e-16,2.4925303126578130e-15,2.8170328894469409e-15,5.1600043512696330e-17
1.3422331893999360e-02,2.2400000000000000e+02,2.0324764135174856e-14,-4.3147528182254849e-12,4.2944241588485111e-12,-3.8952417987535298e-18,8.0850027409111122e-16,1.9164017726944596e-15,1.7002860584440075e-15,5.9479274581541586e-17
1.3805827090970771e-02,2.2800000000000000e+02,2.0306868111254849e-14,-4.1522405529465579e-12,4.1319508860070845e-12,1.7201171781645658e-17,7.5562358763893673e-16,2.5635945959004298e-15,2.6026133433740221e-15,5.2695691197878306e-17
1.4189322287942181e-02,2.2400000000000000e+02,1.9148750535823386e-14,-3.8586679150244314e-12,3.8394762088375463e-12,-4.2955651062628975e-17,7.1773839840949795e-16,2.1095431110914796e-15,2.2012450405891909e-15,5.3784319368986323e-17
1.4572817484913590e-02,2.4800000000000000e+02,2.0768661792799490e-14,-4.0564332415841031e-12,4.0356221918337476e-12,-4.2387957555614948e-17,7.6672054542027212e-16,3.1726403791831150e-15,3.3206020695705417e-15,3.8488513952701828e-17
1.4956312681885001e-02,2.3600000000000000e+02,1.9439290972326622e-14,-3.6643524767850409e-12,3.6448653732348448e-12,-4.7812577868860524e-17,7.3497154884630217e-16,3.9541022996737505e-15,3.5872915147699284e-15,3.8623264199589256e-17
1.5339807878856412e-02,2.6400000000000000e+02,2.0732325158044349e-14,-3.8986184697523142e-12,3.8778678478666413e-12,-1.8296727629433654e-17,7.4807069287210945e-16,3.3570783642698797e-15,3.2695838270399129e-15,4.2347352534501937e-17
1.5723303075827821e-02,2.4800000000000000e+02,1.9053130228563034e-14,-3.4830069247863135e-12,3.4639351841848838e-12,-1.8610372866624735e-17,6.2395169186552144e-16,2.1589855130099315e-15,2.2001589244200098e-15,5.2501327101467857e-17
1.6106798272799233e-02,2.6400000000000000e+02,2.0168864265592626e-14,-3.5359081345522556e-12,3.5157034281415702e-12,-3.5842145093605264e-17,6.2689013741569009e-16,1.1850569370013982e-15,1.2166472985591215e-15,2.5317822183778547e-17
1.6490293469770642e-02,2.7600000000000000e+02,2.0238764642669091e-14,-3.5284577396823258e-12,3.5082485576627666e-12,2.9582623110185390e-17,6.1994729703541303e-16,1.4278473230037719e-15,1.3457970481309270e-15,5.3349975184676275e-17
1.6873788666742051e-02,2.6400000000000000e+02,1.8954022013654150e-14,-3.2275785270199894e-12,3.2085870462319274e-12,-3.7458774407568463e-17,6.0561740896997361e-16,1.2835793109128016e-15,1.1401651206177777e-15,3.3771118495651535e-17
1.7257283863713464e-02,2.8800000000000000e+02,2.0095050984309268e-14,-3.3659951069669033e-12,3.3458579319430052e-12,-4.2124039588967225e-17,6.0702461622958320e-16,1.5013546593161041e-15,1.1966194731889260e-15,2.0885942802176229e-17
1.7640779060684873e-02,2.7600000000000000e+02,1.8788041935247205e-14,-3.0914201499259143e-12,3.0726029711033579e-12,-2.9136887308580224e-17,5.6573322705610643e-16,1.8460592117802540e-15,1.5486007152043602e-15,5.2454476984874872e-17
