time,E_K_mean,psi2_mean,dissipation_mean,production_mean,length_mean,E_K_sem,psi2_sem,dissipation_sem,production_sem,length_sem
1.6384000000000000e+04,1.3049665305575472e+05,3.1998776146560351e+02,4.7603398092127820e-10,5.0944853827320158e-10,6.2858011354634414e+02,1.3597701258413548e+02,6.2248366333838563e+00,2.7099332221125174e-12,3.3234082381025959e-12,4.6323359789278413e+00
3.2768000000000000e+04,1.3075963187956675e+05,6.5846450505646067e+02,5.2819652738084317e-10,5.6804199210613058e-10,8.5613942225212702e+02,1.4997202645739350e+02,1.1602400113996959e+01,2.7869677207634084e-12,3.8739776103436656e-12,6.9539694474753153e+00
4.9152000000000000e+04,1.3047564478751899e+05,1.0084907671007579e+03,5.6014791111578328e-10,5.9713397836856898e-10,1.0281259726605615e+03,1.4653586098165417e+02,3.0286777590321403e+01,3.5930211262861594e-12,7.1357659364232488e-12,1.3083532031024282e+01
6.5536000000000000e+04,1.3054825910381865e+05,1.3123903591871795e+03,5.7860908236545114e-10,6.1071038743226774e-10,1.1534784481684478e+03,1.2709940893425829e+02,4.7580053812126970e+01,3.9421049209290176e-12,5.6971352655253361e-12,1.8163144612814872e+01
8.1920000000000000e+04,1.3049917906225930e+05,1.6408673271147070e+03,5.9310621025945885e-10,6.2923685647799519e-10,1.2732746437067842e+03,1.1322795111230923e+02,6.7378417612138648e+01,5.1617403883674394e-12,7.3873942471983212e-12,2.2255000781080046e+01
9.8304000000000000e+04,1.3057096066170366e+05,1.9827667455372650e+03,6.0929670487522276e-10,6.4929325949087807e-10,1.3809980194486859e+03,9.9159376742085342e+01,7.8234845525920818e+01,6.3165784176688118e-12,8.1007524836440750e-12,2.2228628483477550e+01
1.1468800000000000e+05,1.3059867712889933e+05,2.3295083744487511e+03,6.2468884742623216e-10,6.6155237657977051e-10,1.4789228350598803e+03,6.6604590809319347e+01,8.2935480754693586e+01,6.1060644795606224e-12,9.5838659267882697e-12,2.1469636054591188e+01
1.3107200000000000e+05,1.3066864509928414e+05,2.6723727251294131e+03,6.3344859140568751e-10,6.7006122496070317e-10,1.5728394215682617e+03,1.5951277124168058e+02,9.9006133271601868e+01,5.5795185337891995e-12,6.2926372657244092e-12,2.3887581318742289e+01
1.4745600000000000e+05,1.3055190014539822e+05,2.9777179986395581e+03,6.4503853866434649e-10,6.7867936816352210e-10,1.6456018622261593e+03,1.0866352736259338e+02,1.0628228958499952e+02,5.2763682074136392e-12,9.1206337131832837e-12,2.5127916794890066e+01
1.6384000000000000e+05,1.3071257220739069e+05,3.2272828261382360e+03,6.4877982878707557e-10,6.7179971356339362e-10,1.7074433366034282e+03,1.0458008671382008e+02,1.3338032436402059e+02,6.5708137716566928e-12,9.1504615096169361e-12,3.0062570510814172e+01
1.8022400000000000e+05,1.3051705700876770e+05,3.5056534838952884e+03,6.5736344602537416e-10,6.8923037102876577e-10,1.7672759644091341e+03,1.5684141698252199e+02,1.5786667156913470e+02,7.8902369890756526e-12,1.2128807508766771e-11,3.0954631030953816e+01
1.9660800000000000e+05,1.3068668288520827e+05,3.7914846489239553e+03,6.6169784642725436e-10,6.9115677116289414e-10,1.8316740151643364e+03,7.5335687252852622e+01,1.7661187507697042e+02,7.9330004680410649e-12,9.3116048805200715e-12,3.4867967266305826e+01
2.1299200000000000e+05,1.3042732858977592e+05,4.0844179278864372e+03,6.6296078349617048e-10,6.9732342864716865e-10,1.8988300653724411e+03,1.1602283991924897e+02,1.9608739102100219e+02,7.4056347231967638e-12,9.2154311741130216e-12,3.7482517276859923e+01
2.2937600000000000e+05,1.3067486317331871e+05,4.4311527284655640e+03,6.6562968303068433e-10,7.0799949218880369e-10,1.9735448512374062e+03,1.2111825824715223e+02,2.1726431622179652e+02,7.8742580134786513e-12,1.0353278359885932e-11,3.9811756485357343e+01
2.4576000000000000e+05,1.3047228510164891e+05,4.7779916982841314e+03,6.7595397462595229e-10,7.0974397968902747e-10,2.0333791174867533e+03,1.9545468702957314e+02,2.3858730222476700e+02,6.7238995912202018e-12,1.0092338775240640e-11,4.1906071183066402e+01
2.6214400000000000e+05,1.3062148588196456e+05,5.0328713096897118e+03,6.8608697131509537e-10,7.1085354808050792e-10,2.0711929934812397e+03,1.2768353913213937e+02,2.5798536440697313e+02,1.1120138817910280e-11,1.3799923330899961e-11,4.0152361755094894e+01
2.7852800000000000e+05,1.3061532609079604e+05,5.2526266030330180e+03,6.8020561033557421e-10,7.0907787086053307e-10,2.1257149988240922e+03,1.5968219301596565e+02,2.5975955806921883e+02,7.2984953398960120e-12,6.8872194297246601e-12,4.4858067872920898e+01
2.9491200000000000e+05,1.3063910701864140e+05,5.4784369042012831e+03,6.8342234590865698e-10,7.0575941653387785e-10,2.1657685010978353e+03,2.0759272341875106e+02,2.6687290734398545e+02,8.5458154639107192e-12,9.9433833243380009e-12,4.1834734742311923e+01
3.1129600000000000e+05,1.3068933775143424e+05,5.6658787012610183e+03,6.8027526170033461e-10,7.0279315069223704e-10,2.2078997745316169e+03,9.8807183921568424e+01,2.7651917017548556e+02,5.3447787681986167e-12,1.0553080017942413e-11,4.5944115032047620e+01
3.2768000000000000e+05,1.3037423467963059e+05,5.8971752869530465e+03,6.8182671264764584e-10,7.1123023293098755e-10,2.2502805732437387e+03,7.0625149704891030e+01,2.8569671253924594e+02,6.8489936913919223e-12,1.1394475920716832e-11,4.5559612986722307e+01
3.4406400000000000e+05,1.3072068764398960e+05,6.2013224915807496e+03,6.9063379277573229e-10,7.2199195023801182e-10,2.2928544083100342e+03,9.6947233830764674e+01,3.1618095403923007e+02,1.0451412950649240e-11,1.3142891674534157e-11,4.8937661636474296e+01
3.6044800000000000e+05,1.3073611442172287e+05,6.4885156768188644e+03,6.8852794189825783e-10,7.2679346604166044e-10,2.3478490868221111e+03,1.2674074498445526e+02,3.5380177493431785e+02,6.9292400278658614e-12,9.4912119779491705e-12,5.4282694859956365e+01
3.7683200000000000e+05,1.3051312071153462e+05,6.8189808323587959e+03,6.9950716042408481e-10,7.3956707718187049e-10,2.3879544838222555e+03,8.8724325640086406e+01,3.7759643844861858e+02,7.0084738062210999e-12,8.2564745765529077e-12,5.6894974613946133e+01
3.9321600000000000e+05,1.3063014619299960e+05,7.1240502100224940e+03,7.0249811305563761e-10,7.3663083450794144e-10,2.4353783262929987e+03,1.6490257696749424e+02,4.0110688427125677e+02,7.2415113598123895e-12,7.6863355353826305e-12,5.8330964973814034e+01
4.0960000000000000e+05,1.3057984526089563e+05,7.4285614759576147e+03,7.0539558218842193e-10,7.3576023385183791e-10,2.4817112401801960e+03,1.0450466616739790e+02,4.3447224712090616e+02,6.1447623524135914e-12,9.8881403334754243e-12,6.5200821454903561e+01
4.2598400000000000e+05,1.3059394635879576e+05,7.6754294211170645e+03,6.9940925168115519e-10,7.2794871848157489e-10,2.5318350961403389e+03,1.9129188487710107e+02,4.8537066058736389e+02,1.0729612212560702e-11,1.4359655754573586e-11,6.5672002799000438e+01
4.4236800000000000e+05,1.3066113608720416e+05,7.9905400522907721e+03,7.0857502660562076e-10,7.4685999278622110e-10,2.5660473244955547e+03,1.6014001883871967e+02,5.1896775092971006e+02,8.5907878361510227e-12,1.0776331127974632e-11,7.2204451367475187e+01
4.5875200000000000e+05,1.3075900456262735e+05,8.3091945726112663e+03,7.1392580805250994e-10,7.5254478834247585e-10,2.6066757616976911e+03,1.4467930511165866e+02,5.4354728987439762e+02,9.3876623683098405e-12,1.4234109160945649e-11,7.4206600827992034e+01
4.7513600000000000e+05,1.3067923766311788e+05,8.6566112607772538e+03,7.1441945097873544e-10,7.5433629291912474e-10,2.6588858292412178e+03,1.1342448360119052e+02,5.6756054658308005e+02,8.7114548344883194e-12,1.4552183280282820e-11,7.6416379151173956e+01
4.9152000000000000e+05,1.3063466554539179e+05,9.0030558843862109e+03,7.1528407195319580e-10,7.5780575314540648e-10,2.7093348639890937e+03,9.0603072212858208e+01,6.0167320270997106e+02,7.8078127847655457e-12,1.3405028875069172e-11,8.1948503261507327e+01
5.0790400000000000e+05,1.3060076980749890e+05,9.3984057220698724e+03,7.2161228909579297e-10,7.6424784800419378e-10,2.7564508443560294e+03,9.6467967794626801e+01,6.2466474378170028e+02,5.5615887651019374e-12,8.6763290552385493e-12,8.6098011442278192e+01
5.2428800000000000e+05,1.3049730200921604e+05,9.7611300249538217e+03,7.2746911067932884e-10,7.6254805140000465e-10,2.7970876769195766e+03,7.2306466653418667e+01,6.5802522756163512e+02,7.0842401288171079e-12,1.1617501577565453e-11,8.7847183487198720e+01
5.4067200000000000e+05,1.3081620031276096e+05,1.0041119864412223e+04,7.2189842696796305e-10,7.4760189265636980e-10,2.8479894406773583e+03,1.5325813577125064e+02,6.9474413171731680e+02,7.8202971296174769e-12,8.7214770512530652e-12,9.5742253144683190e+01
5.5705600000000000e+05,1.3055513837448423e+05,1.0241354850190975e+04,7.2170817284855598e-10,7.4298907399280757e-10,2.8764258506322126e+03,9.5816153955856223e+01,7.2876574292436692e+02,8.5407239963173191e-12,7.8807363671141469e-12,1.0190190875270156e+02
5.7344000000000000e+05,1.3084005473037247e+05,1.0561625312564938e+04,7.2806733633641158e-10,7.7135441709840351e-10,2.9057709706743772e+03,1.1019312352426857e+02,7.9192527983747846e+02,9.1132300188245708e-12,1.3766876961868499e-11,1.0425388737712331e+02
5.8982400000000000e+05,1.3059926675212692e+05,1.0924830245268906e+04,7.3334176885895749e-10,7.7370528364653833e-10,2.9410462202762910e+03,1.2788675407213154e+02,8.7796759480628964e+02,8.6566304474291331e-12,1.6719369514099435e-11,1.0891228996904462e+02
6.0620800000000000e+05,1.3070975300308758e+05,1.1274869325339860e+04,7.3571591316781606e-10,7.7953375146140796e-10,2.9807088859191863e+03,1.3328514317412424e+02,9.4776496476153864e+02,6.9684549522834146e-12,1.8955592603599331e-11,1.1582128580513607e+02
6.2259200000000000e+05,1.3053281201547547e+05,1.1684808814197648e+04,7.4279794728692548e-10,7.8554614011247341e-10,3.0165958394060813e+03,8.2033408764962516e+01,1.0356484534531819e+03,8.7112858612771639e-12,2.0345768216823871e-11,1.1985511119607362e+02
6.3897600000000000e+05,1.3067546184116694e+05,1.2061572011558736e+04,7.4091136098850258e-10,7.8158546549581521e-10,3.0664142932113473e+03,1.9886985831920529e+02,1.1119545158613914e+03,1.0978173417951174e-11,2.1720071140708695e-11,1.2681541831326446e+02
