d0,d0_label,steady_start,steady_end,psi2,psi2_sem,induced,induced_sem,length,length_sem,n_samples,eta,mobility,schmidt_number
0.0080000000000000002,0.008,100000000,200000000,4028.8185471152415,45.70492359769456,1.6423339253846273e-09,3.5567254653068396e-12,213.69432530399996,0.95431848491348892,288,0.032000000000000001,0.0080000000000000002,4
0.014999999999999999,0.015,100000000,200000000,3526.285342434654,32.303027009650592,1.6651619128349757e-09,2.6902801292427796e-12,272.39742771268891,1.0114554590402736,288,0.059999999999999998,0.014999999999999999,4
0.029999999999999999,0.03,50000000,100000000,3118.9967142749842,30.684518100917245,1.6053970763548021e-09,2.6816043320306893e-12,368.77034263584414,1.4893632902228382,288,0.12,0.029999999999999999,4
0.059999999999999998,0.06,50000000,100000000,3061.1864513715018,23.299331970301211,1.4146475464846682e-09,1.8030414183761299e-12,551.33517838637999,1.7324612094982557,288,0.23999999999999999,0.059999999999999998,4
0.12,0.12,10000000,20000000,2942.8763095255654,31.804738448879835,1.0676137811885612e-09,2.1981373522695375e-12,873.42227582986436,3.7117587434103516,576,0.47999999999999998,0.12,4
0.25,0.25,10000000,20000000,1945.5677460527409,19.782969587457551,6.3862222678479313e-10,1.349729336499024e-12,1326.8412485818315,5.1532170838025895,576,1,0.25,4
0.5,0.50,5000000,10000000,812.70936216684731,9.6797870018443835,3.4404518418029231e-10,8.630976228439325e-13,1646.70672585329,7.5234395260178673,576,2,0.5,4
1,1.00,5000000,10000000,240.09859573795009,2.2386429679206059,1.7564477936000009e-10,3.4373029287156338e-13,1779.7496754702645,6.4261805591652781,576,4,1,4
2,2.00,5000000,10000000,64.237734268540621,0.42396155558447551,8.8616231226078713e-11,1.2583356968909912e-13,1839.7463913382849,4.7471517090440472,576,8,2,4
4,4.00,5000000,10000000,16.229024463730909,0.077537090591606836,4.435828371422972e-11,4.5354140187400474e-14,1851.8455824091948,3.4732756121698554,576,16,4,4
