d0,d0_label,steady_start,steady_end,psi2,psi2_sem,induced,induced_sem,length,length_sem,n_samples,eta,mobility,schmidt_number
0.0080000000000000002,0.008,100000000,200000000,4436.8844637832872,20.539269417060215,7.5851099856143759e-10,7.8228503090452623e-13,331.50884190130756,0.60081732040180813,288,1,0.0080000000000000002,125
0.014999999999999999,0.015,100000000,200000000,4191.9623308093751,19.781385757219279,7.5420281777925166e-10,7.7364201740920341e-13,442.47292316436818,0.82296169246156681,288,1,0.014999999999999999,66.666666666666671
0.029999999999999999,0.03,50000000,100000000,3881.4088942383532,25.953596882445861,7.4527163784024354e-10,1.0692868936633458e-12,605.09868014829556,1.605550753226187,288,1,0.029999999999999999,33.333333333333336
0.059999999999999998,0.06,50000000,100000000,3434.2923809451959,22.849079965090283,7.2872545413008087e-10,1.024153533257192e-12,814.04827568448536,2.1583008517311724,288,1,0.059999999999999998,16.666666666666668
0.12,0.12,10000000,20000000,2804.6226590080792,29.953035419482152,6.9804981746659539e-10,1.5744974702469977e-12,1054.1662996410976,4.4570776082868919,576,1,0.12,8.3333333333333339
0.25,0.25,10000000,20000000,1949.2758872956956,19.945769514235483,6.3845078378782915e-10,1.3667953108307004e-12,1327.4221071555503,5.4141501278023823,576,1,0.25,4
0.5,0.50,5000000,10000000,1114.506527130048,13.908338598443294,5.4472970399948645e-10,1.4041666579988334e-12,1531.0664027360751,7.2646655157061408,576,1,0.5,2
1,1.00,5000000,10000000,521.85314355288892,5.963187693737793,4.212620291258729e-10,1.0004663323519746e-12,1688.1906653310944,7.3786072163778442,576,1,1,1
2,2.00,5000000,10000000,196.22878533960488,2.0143202856608085,2.8779473424090374e-10,6.1967425229371858e-13,1774.900036007127,7.0024383803341168,576,1,2,0.5
4,4.00,5000000,10000000,62.051694468500209,0.57577986316096552,1.7508112045071076e-10,3.4276687459443833e-13,1812.6523751148659,6.4795139166282842,576,1,4,0.25
