nk,k,time,steady,n_samples,psi[0]_sin_mean,psi[0]_sin_sem,psi[0]_cos_mean,psi[0]_cos_sem,psi[0]_amp_mean,psi[0]_amp_sem,psi[0]_mean_mean,psi[0]_mean_sem,Jpsi[0]_y_sin_mean,Jpsi[0]_y_sin_sem,Jpsi[0]_y_cos_mean,Jpsi[0]_y_cos_sem,Jpsi[0]_y_amp_mean,Jpsi[0]_y_amp_sem,Jpsi[0]_y_mean_mean,Jpsi[0]_y_mean_sem,vx_sin_mean,vx_sin_sem,vx_cos_mean,vx_cos_sem,vx_amp_mean,vx_amp_sem,vx_mean_mean,vx_mean_sem,pi_xy_sin_mean,pi_xy_sin_sem,pi_xy_cos_mean,pi_xy_cos_sem,pi_xy_amp_mean,pi_xy_amp_sem,pi_xy_mean_mean,pi_xy_mean_sem
1,0.0015339807878856412,40000.0,0,72,0.000562614280136146,8.456094295638014e-09,-3.270669917065362e-09,4.760842690458607e-09,0.0005626142815758418,8.456068901552195e-09,-2.007781800899082e-21,2.7582888138999802e-21,-1.346940504401395e-10,3.0144717109852996e-10,-3.9577380701378657e-07,4.798946988468304e-10,3.957819742535167e-07,4.799697512012542e-10,-5.050381629737497e-10,3.2421485082275375e-10,3.2824372641235006e-06,3.513176945228585e-06,4.102571931351688e-06,3.5926227246768776e-06,3.787770714085096e-05,2.330413320082356e-06,-3.1842164498633878e-21,2.0453460803672563e-21,-6.72159895386945e-07,9.362731709397065e-07,1.0664546368709414e-06,1.0752231807889721e-06,1.1043563179755871e-05,5.808130870739137e-07,-3.411660481996488e-22,1.7801591692857548e-22
1,0.0015339807878856412,80000.0,0,72,0.0016404583661393472,7.528943129871134e-08,4.806460686370288e-08,4.732202240987217e-08,0.0016404584153016212,7.529021838813369e-08,6.0233454026972465e-21,5.6738633035858266e-21,-1.1518969050449034e-09,1.2739880103220904e-09,-1.2997828655356213e-06,2.3586596709206435e-09,1.2998277602597358e-06,2.358224589048194e-09,-1.2077972448520732e-09,1.4846888051360221e-09,1.2463734825615786e-05,6.895991057526547e-06,4.900022245508427e-06,6.997689205274067e-06,7.352024185466752e-05,4.787330065173214e-06,7.529181753371552e-22,2.8069580862255734e-21,3.1976231231149485e-06,1.108200626303648e-06,-8.376493152663845e-07,8.645257133286635e-07,1.0860399934676382e-05,6.842247613700944e-07,-1.2205509483004679e-22,1.6536810452983715e-22
1,0.0015339807878856412,120000.0,0,72,0.00266191036176137,2.7019953115624133e-07,2.3291180776204767e-07,1.4036205701821935e-07,0.0026619106346547324,2.7020525187700655e-07,4.015563601798163e-21,1.2121865892568093e-20,-6.02362794739966e-09,2.840650905428841e-09,-2.221185696655754e-06,5.4854069999825315e-09,2.2213231075528096e-06,5.483808545653258e-09,-2.207152922426096e-09,2.9700082636543246e-09,1.3666577801589629e-05,8.959109254277334e-06,-2.285535012136116e-06,9.060069308465434e-06,9.200779848195466e-05,6.769285592162274e-06,-1.0274195934288271e-21,2.8896804787095828e-21,-1.2376403183550344e-06,9.081738031208068e-07,-1.4167513141150454e-06,1.0332210539456574e-06,1.0547290457847169e-05,6.1264498662106e-07,4.3135937128691236e-23,1.4869422109806035e-22
1,0.0015339807878856412,160000.0,0,72,0.0036271976414001808,5.655607416907883e-07,6.568274285724518e-07,3.2583595948476883e-07,0.0036271987401369963,5.655452269449607e-07,2.007781800899081e-21,1.2296256733128427e-20,-7.653838075432881e-09,4.863732115837451e-09,-3.1238632082645256e-06,7.517558966387787e-09,3.124141043736984e-06,7.519649761904203e-09,3.3192654807207613e-09,4.875924474909868e-09,4.171670804682016e-06,1.0648515183231428e-05,-6.725343702093312e-06,1.1631744939546744e-05,0.00011583782967655175,7.783246980949835e-06,8.784045378933494e-22,2.94822435056223e-21,1.4848897371183192e-06,8.999891875288123e-07,-9.238513403945069e-07,1.13688456744285e-06,1.0865395894006607e-05,6.948315427568977e-07,-1.0489875619931728e-22,1.5250248805616665e-22
1,0.0015339807878856412,200000.0,0,72,0.0045381282579412185,9.548586639707752e-07,1.0411448207861036e-06,5.459588273132004e-07,0.00453813070960332,9.548225715652945e-07,-1.6062254407192657e-20,2.6137030858394527e-20,-1.3697111035779064e-09,6.171850521471572e-09,-3.995991578720983e-06,1.299114649865599e-08,3.996326009915863e-06,1.300929854249501e-08,6.4438000866014215e-09,5.700479036039832e-09,-1.7681647604316117e-06,1.1426264549158284e-05,-1.0060576509208917e-05,1.3656028076078473e-05,0.00013188355716248177,8.575578891632672e-06,2.96461531539005e-21,2.8821678383877306e-21,-1.0796439484831147e-06,9.950756919275236e-07,9.9854040975748e-07,9.636936788206724e-07,1.0246720503227393e-05,6.859556284863094e-07,1.2744708697113315e-23,1.791746442972692e-22
1,0.0015339807878856412,240000.0,0,72,0.005396374805896483,1.655429653743874e-06,1.0337375230985207e-06,8.861920222664243e-07,0.005396380075191851,1.6552479000287006e-06,2.8108945212587156e-20,1.9941618688869455e-20,-1.6989639846049877e-09,1.0506978293088826e-08,-4.833544123415195e-06,1.8155773548344607e-08,4.834345900309464e-06,1.8190476445995883e-08,1.0932260939727328e-08,8.38060057892311e-09,1.192084300077832e-06,1.3267549252940322e-05,-9.516068962973207e-06,1.5518797422132127e-05,0.00015137891743565216,9.767383556042992e-06,6.43117608100487e-22,3.086210020389942e-21,-1.0427637011477724e-06,1.02184672221971e-06,2.35307211069904e-07,1.0536931123290598e-06,1.1431755288647156e-05,5.743695802741078e-07,9.803622074702547e-23,1.5051187432584924e-22
1,0.0015339807878856412,280000.0,0,72,0.006204366137459343,2.559169363007359e-06,1.1506657787222855e-06,1.4139545711841132e-06,0.006204377695538707,2.5587587113696767e-06,-4.0155636017981643e-20,2.0860037605736714e-20,2.4485749724968434e-09,1.3668201150828315e-08,-5.64853349729363e-06,1.9211382762632935e-08,5.649700722053558e-06,1.924164361157662e-08,4.633177110241703e-09,1.1021607560433579e-08,3.1284119938548423e-06,1.4361996983439426e-05,-7.877652104045361e-06,1.6062383227345822e-05,0.00016328817598528005,9.473298963276977e-06,-2.3214977072895633e-21,3.3076337264004564e-21,-1.6820112159428433e-06,8.515519695786408e-07,-3.139951938374353e-07,8.664932869849698e-07,9.262283686243066e-06,5.55768762470266e-07,1.0685948061425778e-22,1.787752918020317e-22
1,0.0015339807878856412,320000.0,0,72,0.0069627736568446,3.546280388287155e-06,5.96696450038433e-07,2.130957325930842e-06,0.006962796863932163,3.5454733212748002e-06,-5.220232682337615e-20,2.310700451550298e-20,7.767309568170433e-09,1.540063855435772e-08,-6.437558111510542e-06,2.3780721832244884e-08,6.438865292936681e-06,2.380092905614202e-08,6.615026172276173e-09,1.4179726964762074e-08,-1.583576978002695e-07,1.497420129296458e-05,-1.8812570565091739e-07,1.6792997063207172e-05,0.0001705411711108037,9.828245233474811e-06,-2.9646153153900508e-21,3.1984545229464865e-21,3.3724256363359536e-07,1.046605604136543e-06,-9.038315674708312e-07,9.221448663159576e-07,1.0609250259109427e-05,6.111821676934031e-07,-1.333292602159547e-22,1.5612511199615525e-22
1,0.0015339807878856412,360000.0,0,72,0.00767570190195749,4.6450650192944245e-06,2.77411157824393e-07,2.902824409336171e-06,0.0076757409556393145,4.643276089188415e-06,-8.031127203596327e-21,2.7999658094083966e-20,3.5063962447737015e-09,1.5442905074902132e-08,-7.124815469775939e-06,2.7351726865977654e-08,7.125988967370467e-06,2.740865236743529e-08,-3.113068460486921e-10,1.711462694770818e-08,3.512482902431608e-06,1.6289586707104594e-05,8.331369464621649e-06,1.717409310027477e-05,0.00017728832860659853,1.0897670978365697e-05,-9.411477191714498e-23,3.7269389426405614e-21,-4.681741258675201e-07,9.560184971149122e-07,-2.877961980929594e-08,1.0896788683644382e-06,1.0873421072010918e-05,6.627524667115882e-07,2.323458431704504e-22,1.5742989593764722e-22
1,0.0015339807878856412,400000.0,0,72,0.008347277216177562,5.88323212371542e-06,8.336655120179598e-07,3.6415165055669507e-06,0.008347333823597154,5.879833757996648e-06,-8.031127203596326e-21,4.042619923129281e-20,-2.1829601173748513e-08,1.679117634830308e-08,-7.801091024843908e-06,2.8815583609658787e-08,7.802386639044839e-06,2.8883551544825457e-08,-2.8751416153589633e-08,2.06077369543758e-08,2.0964346930874777e-06,1.7475011401860414e-05,7.815472136420399e-06,1.841802784424783e-05,0.0001891220999815484,1.1906260536005519e-05,-7.058607893785843e-22,3.0958650693330732e-21,4.252906543424233e-07,9.63119339685419e-07,1.4472954776618935e-06,1.0021682989996462e-06,1.0851167394302253e-05,5.527836601872844e-07,-1.5391686657283e-22,1.5356184868594935e-22
1,0.0015339807878856412,440000.0,0,72,0.008977833268651498,7.2394349815813605e-06,2.8330496122358968e-06,4.353931694668195e-06,0.008977908969531314,7.234265712919233e-06,3.212450881438531e-20,4.5590603417635034e-20,-3.939795081033061e-08,1.98553270287324e-08,-8.469204921977455e-06,3.6605767265165436e-08,8.470922159222245e-06,3.669273485588755e-08,-1.6119223811451553e-08,2.388525683511468e-08,2.027420600165921e-06,1.8017228935603294e-05,-3.1225344039929404e-06,1.8920183890965906e-05,0.00019513980510262502,1.2101963410661897e-05,-1.1921204442838296e-21,2.864231089115954e-21,1.634533225015782e-06,1.0387481643952206e-06,7.995411391979372e-07,9.268348872459687e-07,1.0236598851495243e-05,7.132792305816094e-07,8.284060653123653e-23,1.7035598470641316e-22
1,0.0015339807878856412,480000.0,0,72,0.009567707121768396,8.843832075594966e-06,5.484801945571574e-06,5.14387824611955e-06,0.009567807321328945,8.836930515934533e-06,4.818676322157797e-20,4.539090642868661e-20,-4.669195765147091e-08,2.212356623252342e-08,-9.101508990451803e-06,4.1053231319534e-08,9.10347822136143e-06,4.1238320461835084e-08,-1.3852758547153872e-08,2.9235043499195278e-08,-4.705522764194156e-06,1.8581315591945952e-05,-2.444051902962262e-06,1.991324945767111e-05,0.0002073188568042958,1.1697480923592645e-05,-8.78404537893348e-22,3.502997619011187e-21,8.524487056979689e-07,8.793071137747287e-07,-1.3794664185614632e-06,8.362962892465211e-07,9.211932728831761e-06,5.607155657260282e-07,5.882173244821533e-23,1.5276433955363462e-22
1,0.0015339807878856412,520000.0,0,72,0.0101204220049308,1.041957709314666e-05,9.10982929685935e-06,6.007729637642167e-06,0.010120553472704207,1.0409124902904688e-05,-2.4093381610788986e-20,3.695105313123052e-20,-7.193610256919123e-08,2.0398499650284623e-08,-9.692415384414483e-06,4.15868560175382e-08,9.694164496894212e-06,4.1723542873319526e-08,-9.644696379022444e-09,3.241490860089459e-08,-6.9300840749180876e-06,1.980583846541784e-05,-2.012533623163611e-07,2.027805288710128e-05,0.00021577958456105343,1.2180366767409675e-05,1.1764346489643065e-21,3.2870172499823343e-21,-1.5358815923538365e-06,9.67333592408962e-07,-7.232954117621941e-07,8.743153790369309e-07,1.0014971157246056e-05,5.727856218515795e-07,-1.4509360670559778e-22,1.9883009755259154e-22
1,0.0015339807878856412,560000.0,0,72,0.01063850265916887,1.1919453893935943e-05,1.3937716371631014e-05,6.818681288675216e-06,0.010638667939949662,1.1906836750005646e-05,2.4093381610788986e-20,4.776070036387928e-20,-7.909685587506689e-08,2.2132663091631964e-08,-1.022709187380237e-05,4.62997387819898e-08,1.0229066174515933e-05,4.639840739756349e-08,6.498464215395451e-09,3.1088292388820886e-08,-7.2945182574964865e-06,2.0188844421194864e-05,7.703839684117885e-06,2.169842571906459e-05,0.00022474165435824308,1.2984789204678154e-05,3.474403663274583e-21,3.3453267399403674e-21,-4.6051346301738567e-07,1.1159759592846727e-06,-3.552295148148285e-07,9.437839002656349e-07,1.1141401434069987e-05,6.265565696384946e-07,-3.686161900088159e-22,1.5333888301106393e-22
1,0.0015339807878856412,600000.0,0,72,0.011125688951286714,1.3615801122468805e-05,1.7897139726695456e-05,7.589874466423963e-06,0.011125888412737366,1.3601319513542207e-05,3.2124508814385315e-20,4.970862867768564e-20,-5.724624746424794e-08,2.371259772116952e-08,-1.0707410277596711e-05,4.620098983577684e-08,1.070941346057394e-05,4.6246347025450896e-08,3.48454068448287e-08,3.20018111707729e-08,-6.923369659449928e-06,2.1836758208154534e-05,1.2592971850212054e-05,2.1879002928531158e-05,0.00023361674838428048,1.3775207425738696e-05,-5.082197683525801e-21,3.1874019688920064e-21,1.141943023026278e-06,9.612370978710832e-07,-4.726597234591385e-07,1.1678534167603127e-06,1.1252613685961947e-05,7.2523983379612e-07,4.313593712869121e-23,1.632658082783183e-22
1,0.0015339807878856412,640000.0,0,72,0.011581345002990042,1.5584096001773417e-05,2.1992530104554198e-05,8.3234356881377e-06,0.011581579768200729,1.5568123891052823e-05,-8.031127203596332e-21,3.333193750112496e-20,-7.677265346817635e-08,2.3488108890631953e-08,-1.1238545000909226e-05,5.14141509518507e-08,1.1240543654220497e-05,5.1432805054232054e-08,1.0685888923629188e-08,3.523662996341677e-08,-4.774005655047046e-06,2.196130040209762e-05,9.019549587056199e-06,2.2883988951627317e-05,0.00023834721837357015,1.439826826552856e-05,-4.360651098827694e-21,3.0721494214113566e-21,-4.556200722853979e-07,1.1407622778085266e-06,9.250254484291613e-07,1.0445624827387288e-06,1.187267404564182e-05,6.496670537142411e-07,-1.5685795319524084e-22,1.6573451612579336e-22
1,0.0015339807878856412,680000.0,0,72,0.012006178592069787,1.7643888051683016e-05,2.6624179452351756e-05,9.117513143293073e-06,0.012006455826084578,1.7625474490673154e-05,-1.5259141686833023e-19,4.428673377526816e-20,-6.793927466143287e-08,2.905824264869641e-08,-1.1733263815444728e-05,5.432227207563152e-08,1.1736020998183006e-05,5.430382426722019e-08,-3.116321463555302e-09,3.872635665769738e-08,-3.181492608075991e-07,2.2573049971150894e-05,4.271850540443399e-06,2.4208071828105624e-05,0.0002485157674320336,1.503234515206606e-05,-2.8234431575143343e-22,2.935717179004935e-21,1.5644175850167568e-06,1.0719564092654498e-06,2.6014399618667033e-07,1.0812651442581364e-06,1.1567668490668704e-05,6.848263655055963e-07,-1.931313548716402e-22,1.8950415078302328e-22
1,0.0015339807878856412,720000.0,0,72,0.012402372972130015,1.955999006534151e-05,3.085434392874135e-05,9.980709975094602e-06,0.012402698699626418,1.9540153399455755e-05,-2.4093381610788983e-20,4.776070036387928e-20,-7.073404325514358e-08,3.0917847221920263e-08,-1.21667793456535e-05,4.872089146484483e-08,1.2169771957770322e-05,4.872714820745562e-08,-9.782567483174324e-09,4.412758012132157e-08,-7.062005327026203e-06,2.3071941038368472e-05,9.075468996812022e-06,2.5374320631971614e-05,0.00025864296503621187,1.5356865722289974e-05,2.5724704324019493e-21,3.2347403110375496e-21,1.213704232584766e-06,9.713707946351024e-07,6.114087913078704e-07,9.763205130766311e-07,1.0451943630355668e-05,6.197903272424202e-07,1.1372201606654962e-22,1.8780216383467268e-22
