nk,k,target_amplitude,psi_sin,psi_cos,mode_amplitude,mode_amplitude_over_target,fit_rms,residual_rms,residual_over_fit
1,0.0015339807878856412,0.10000000000000001,0.016897470163938524,-1.9656069380164797e-05,0.016897481596446735,0.16897481596446734,0.011948323821822374,2.5799906103270765e-05,0.0021592908334263517
2,0.0030679615757712823,0.10000000000000001,0.018077397870002659,-4.8159908362846746e-06,0.018077398511515543,0.18077398511515541,0.012782651073704241,5.1172497075020458e-05,0.0040032773154771994
3,0.0046019423636569235,0.10000000000000001,0.019208143519406567,6.1698057426910752e-06,0.01920814451030144,0.19208144510301439,0.013582209237245306,7.5733814137429593e-05,0.0055759569606505079
4,0.0061359231515425647,0.10000000000000001,0.02008875088930202,-1.9121224531289348e-06,0.020088750980303504,0.20088750980303502,0.014204892043740511,6.218644924939607e-05,0.0043778192088970488
5,0.0076699039394282058,0.10000000000000001,0.020924643688290584,-1.1046064810613697e-05,0.020924646603884777,0.20924646603884775,0.014795959507538987,6.6321067264473279e-05,0.0044823769104450914
6,0.009203884727313847,0.10000000000000001,0.021656819329769535,7.4347203058243354e-07,0.021656819342531119,0.21656819342531117,0.015313683816035744,6.0715194417151666e-05,0.0039647674032275418
8,0.012271846303085129,0.10000000000000001,0.023006849276133418,3.4811944464411325e-07,0.023006849278767137,0.23006849278767136,0.016268299138753075,3.6963792799757624e-05,0.0022721362869278297
10,0.015339807878856412,0.10000000000000001,0.024213539227091685,1.2822312155470383e-06,0.024213539261042048,0.24213539261042047,0.017121557808009537,6.3812697661594109e-05,0.0037270380637760814
12,0.018407769454627694,0.10000000000000001,0.025339988614490216,-1.6762286453507119e-06,0.025339988669931094,0.25339988669931091,0.017918077823698562,3.8468408873784424e-05,0.0021469048885872045
16,0.024543692606170259,0.10000000000000001,0.027419161917490359,-3.4103860518470184e-07,0.02741916191961127,0.27419161919611268,0.019388275327809092,2.3021285910128193e-05,0.0011873818336542901
20,0.030679615757712823,0.10000000000000001,0.029365567440369538,4.0467412007375672e-07,0.029365567443157856,0.29365567443157853,0.020764591872447828,2.5206960511265992e-05,0.0012139396076795838
24,0.036815538909255388,0.10000000000000001,0.031245727395570123,1.0421812725843477e-06,0.031245727412950768,0.31245727412950769,0.022094065736803885,3.4674492274141068e-05,0.0015694029649047773
28,0.042951462060797953,0.10000000000000001,0.033106110718161962,1.1707147830382857e-06,0.03310611073886166,0.3310611073886166,0.023409555402161872,2.2658499979185988e-05,0.00096791671562858794
32,0.049087385212340517,0.10000000000000001,0.034974276197390707,4.3472868603431646e-07,0.034974276200092538,0.34974276200092536,0.024730547868176699,2.7041227296249934e-05,0.0010934342191038404
40,0.061359231515425647,0.10000000000000001,0.038862337889086392,-2.1652514896295049e-08,0.038862337889092421,0.38862337889092419,0.027479822654140139,5.1288667747885368e-05,0.0018664118904041821
48,0.073631077818510776,0.10000000000000001,0.043178856652929393,1.5389201608371109e-07,0.043178856653203632,0.43178856653203629,0.030532062343362167,4.1937402627007223e-05,0.0013735528951625056
