nk,sample,steady_blocks,psi[0]_sin,psi[0]_cos,psi[0]_amp,Jpsi[0]_y_sin,vx_sin,pi_xy_sin,psi[0]_mean,Jpsi[0]_y_cos,Jpsi[0]_y_amp,Jpsi[0]_y_mean,vx_cos,vx_amp,vx_mean,pi_xy_cos,pi_xy_amp,pi_xy_mean
1,0,251,0.016830779718345873,-0.00023903776472175645,0.01684188614368519,1.2983062754974e-07,-0.00011220608093036399,5.894806935446515e-07,-6.911248908274132e-21,-1.8394053861591176e-05,1.8403454720520352e-05,2.7431323087145512e-08,-0.00021497227724396847,0.00032684509991850585,6.272318345139414e-21,-1.2291054562986118e-06,1.0225192794649856e-05,7.522619966484904e-23
1,1,251,0.017177090545565883,-3.906085447368667e-05,0.017181195278057077,2.6568712081564887e-08,-0.0002621481375632367,-1.0689373936778606e-07,-2.3037496360913813e-21,-1.8421989278598454e-05,1.842996859710486e-05,-1.9325371487456352e-07,-4.964376910093147e-05,0.0003236180670166557,-1.6153244518687586e-21,2.8316831461034747e-07,1.0524985399362488e-05,-6.313376383087332e-23
1,2,251,0.01630939118947066,0.00022051848921448693,0.01631352131861528,8.400090214627227e-08,-0.0004983268756143338,-1.660082955376623e-08,6.911248908274135e-21,-1.8321578316232233e-05,1.832833418872578e-05,-7.682988480666916e-07,-0.00037467150473875175,0.0006706615572725669,1.0708836199018513e-21,2.6110411302666798e-08,1.0509217932783536e-05,5.230681546789504e-23
1,3,251,0.016867594440381713,0.0002618110112391812,0.01687740359414077,1.2541241549870579e-08,-0.00014232609324428297,-2.0843284681397814e-07,-7.141623871883269e-20,-1.8302654514101315e-05,1.831370324788784e-05,7.545699013174545e-07,0.00014707121566550453,0.0003238143061274572,6.43430074142709e-22,2.698044168260202e-07,1.0688173590427003e-05,4.358901288991255e-23
1,4,251,0.016491794285583058,-0.0003648438222868875,0.016500221403955902,4.029478301807401e-08,0.0001627367111230492,-2.1393647864677644e-07,5.759374090228443e-20,-1.8414828011323362e-05,1.84233143403006e-05,1.71502083786997e-07,-5.486317038883057e-05,0.0004169892780942401,7.109227392625735e-22,-3.3244989841183546e-07,1.0221612565812149e-05,-1.165654570507661e-22
1,5,251,0.0158834047286859,-0.0004934982195813777,0.015903584072068173,1.573852655447739e-07,0.00032436151757818464,4.7502079437111404e-07,-9.214998544365513e-21,-1.8476754117707554e-05,1.848877287154067e-05,1.780903790525556e-07,-0.00022886893618795405,0.00048501831168347876,-2.141767239803702e-21,3.233228325038124e-07,1.1396849339589254e-05,-8.141302730083665e-23
1,6,251,0.01689536332100311,3.5360056639908443e-06,0.01689772574180467,-2.7076016241353163e-08,5.051546065099172e-05,5.04609200425128e-07,6.220124017446719e-20,-1.845854056970302e-05,1.8467592661633306e-05,6.281978673336563e-07,0.00018402078019824202,0.0003456030535771067,-6.389305631347176e-22,4.278107812119184e-08,1.0162284767305369e-05,-5.708754591388547e-23
1,7,251,0.016168238380414705,0.0003269282010841626,0.016189499547955555,1.1305129912417761e-07,6.633101461555512e-05,-2.6577566063266815e-07,-2.5341245997005152e-20,-1.8373419643056237e-05,1.8387948211087795e-05,-6.050738353735435e-07,0.00024249793199916344,0.0003436083455655893,-1.3835996349572236e-21,8.325593364396471e-07,1.0724503907770622e-05,-7.367949275585216e-23
1,8,251,0.01742558537623806,-5.212798207585847e-05,0.017442260069887534,1.0664249035112889e-07,-0.000330092157077887,-3.880461959356126e-07,2.0733746724822392e-20,-1.8400451120586508e-05,1.8408226685472236e-05,-4.353861113926343e-07,4.067537525585905e-05,0.0003583597587786614,-2.1147701737557553e-22,4.0068132317018993e-07,1.1051593784853265e-05,8.942778128382056e-23
1,9,251,0.01628248840655639,0.000319555572939495,0.016303934445114878,-2.8711233963256846e-08,-0.00022835159544177866,1.0593568635668212e-06,3.225249490527928e-20,-1.854236436417043e-05,1.8552476655151765e-05,8.13841030603275e-07,-0.0001245638443507031,0.0003288843979406664,-5.0844474390298e-22,4.7335367609837036e-07,1.0997367732708521e-05,-2.3622432791952616e-23
1,10,251,0.01730528225078505,-0.00023969181765598382,0.01731241726674912,-8.962530275550203e-09,8.031968899069421e-05,-2.2423371240861886e-08,4.6074992721827547e-20,-1.8219915507086187e-05,1.8229316931906864e-05,-5.065060075252682e-07,0.00012102938790225838,0.00043651036435797,-9.67394866718059e-22,3.7059933765325465e-07,1.0717969190410348e-05,-4.1339257385917035e-23
1,11,251,0.01636323108113806,-8.913480854165286e-05,0.016367131665152655,-1.2570390398602248e-09,-4.658782434013059e-05,-5.0224584869047e-07,-3.685999417746204e-20,-1.8498074825131e-05,1.8510645054169182e-05,9.259251903768404e-07,-0.0002575449329639073,0.0004398328897257208,-1.8582980463002714e-21,3.3379171132059926e-07,1.0868860477607016e-05,-9.533338948180868e-23
1,12,251,0.01738338904519179,0.0002560292354007911,0.01740413409083798,-1.3944131744182713e-07,0.0002732887828505698,7.742932080145504e-07,1.1518748180456891e-20,-1.8409993830156862e-05,1.842386103251482e-05,-5.533953869846044e-07,-0.0005868181901925647,0.000664521444762902,-1.4173459675171562e-21,-3.302832974879617e-07,1.1262598184180456e-05,-1.6521641982466833e-23
1,13,251,0.01636805410760394,-0.00015436668765998385,0.016375759196899778,-6.100407157678371e-08,-4.761103744739487e-06,-3.9532035777529677e-07,-6.911248908274132e-21,-1.844824690669458e-05,1.8461615545930963e-05,-1.833926832106745e-07,-6.900785965511485e-05,0.0003659722488877659,-1.255363571229481e-21,5.661186620351531e-07,1.0909076347333734e-05,-1.040511920597911e-23
1,14,251,0.017380812869305796,8.115805879343342e-05,0.017385375047513068,-1.4125370636093713e-08,5.1683742512013686e-05,9.004069103496639e-08,4.146749344964479e-20,-1.8350989752582195e-05,1.8360014518455452e-05,-2.0961782866064387e-08,-0.00019321491316337774,0.00037513654954429243,5.039452328949886e-22,7.504513917678012e-07,9.919352422378565e-06,1.354071593967283e-22
1,15,251,0.016793123294744684,-0.0004181111028359979,0.01681096803678724,1.181826926666703e-07,-8.427300103798056e-05,-1.0033997834600332e-07,2.3037496360913798e-21,-1.8415083079341416e-05,1.8426643504456518e-05,1.500863713145706e-07,-0.00013685734124684715,0.00023760691408054074,-1.0843821529258242e-21,6.148505622241602e-07,1.0915210968790783e-05,-5.877486254188205e-23
1,16,251,0.017084526914278128,0.000336363810925701,0.017096551090797083,-7.618101247004093e-09,1.4596517902541506e-05,1.7291207427928596e-07,-1.382249781654826e-20,-1.8444847815596026e-05,1.8454887159686845e-05,4.6295666348894895e-07,0.0005551124875724522,0.0005837641445342973,1.3948484124772024e-22,2.1943541710582598e-07,1.0597706580638005e-05,-1.6577885870066734e-22
1,17,251,0.016790557463338324,-0.00033879714376389776,0.016799586563831324,-4.736154972927112e-08,0.0001292800898269319,1.2996739287855404e-06,-4.377124308573617e-20,-1.8410354179218135e-05,1.8422879424697192e-05,3.5201290453341565e-07,-0.00017967074569646144,0.00047048251848012845,9.808933997420316e-22,8.154274010597059e-08,1.0913854743672791e-05,3.121535761793735e-23
1,18,251,0.017454197223959113,-0.0005219600208879613,0.017467851328408026,-1.0561077470104668e-07,-0.0005672900866360086,-3.976052433059539e-07,9.214998544365513e-21,-1.8345103007575517e-05,1.8353675431092748e-05,2.9445606588425795e-07,-0.00020776943358938863,0.0006372391492557131,-4.715487536374538e-21,7.079159553065336e-08,1.0228053994504437e-05,-6.411803186387134e-23
1,19,251,0.01667625532742226,-0.0001472821176582629,0.01670105777068323,-1.0242191376172384e-07,-6.923142130575721e-05,1.8610131053644695e-07,-6.91124890827413e-21,-1.8479857685582153e-05,1.848941831512215e-05,1.745147217144355e-07,-0.00013824753320522488,0.0002156244747670329,7.019237172465918e-22,-5.734746038906456e-08,1.0789785281589588e-05,1.4693715635470514e-22
1,20,251,0.017435087929979044,8.729322707009749e-05,0.017444279498345934,-8.68877413079113e-08,0.00030898346150449194,5.233486157760633e-07,-2.303749636091377e-20,-1.819867449958965e-05,1.820858651491989e-05,-1.8055173430232062e-07,7.707196511839554e-05,0.00036556129070082147,-2.375741812219233e-21,7.063500574095451e-08,1.0825948308303461e-05,1.2317411384375285e-22
