nk,k,coord,n_samples,psi[0]_mean,psi[0]_sem,Jpsi[0]_y_mean,Jpsi[0]_y_sem,vx_mean,vx_sem,pi_xy_mean,pi_xy_sem
1,0.0015339807878856412,0.0,72,-2.4833385668909973e-05,3.922466409386415e-05,-1.830999639200317e-05,5.2827479364460567e-08,-5.184995226419007e-05,4.063860487224008e-05,-1.1838745426560118e-07,5.432690995490261e-07
1,0.0015339807878856412,21.333333333333332,72,0.0005310914138684391,3.910575246998815e-05,-1.8299743647905264e-05,5.287659016830277e-08,-5.668878734004612e-05,4.0139275511358475e-05,3.707834251723372e-07,5.424842686934211e-07
1,0.0015339807878856412,42.666666666666664,72,0.001086361027946716,3.8932035966686375e-05,-1.8269526113904664e-05,5.294572557574918e-08,-5.623279138860593e-05,3.946539277001042e-05,8.307293454416754e-07,5.0535533290154e-07
1,0.0015339807878856412,64.0,72,0.0016405809055897995,3.873367326342243e-05,-1.82197168698208e-05,5.3015440711501545e-08,-5.1300911886805514e-05,4.021611336420967e-05,5.175457439729464e-07,4.862851149997057e-07
1,0.0015339807878856412,85.33333333333333,72,0.002193299418610087,3.857613620728395e-05,-1.8150577142742174e-05,5.306626523337427e-08,-4.732920458381127e-05,4.048545513286799e-05,-2.34500593268636e-07,4.7636075590140955e-07
1,0.0015339807878856412,106.66666666666666,72,0.0027435593842010117,3.8416613736920205e-05,-1.8062069472649266e-05,5.3113293494124734e-08,-4.716554544120145e-05,3.8766931239814876e-05,-2.5828641274044425e-07,5.206886339930317e-07
1,0.0015339807878856412,128.0,72,0.003290597600554723,3.822769361099208e-05,-1.795402004816922e-05,5.3148792300937685e-08,-4.324226304183238e-05,3.8159880518505194e-05,4.881688421430034e-07,4.3243274244986625e-07
1,0.0015339807878856412,149.33333333333331,72,0.00383415241069972,3.8085565936387555e-05,-1.7826507261116153e-05,5.317675232022596e-08,-3.727698609837851e-05,3.919004659404291e-05,8.347715255008893e-07,4.873004137662073e-07
1,0.0015339807878856412,170.66666666666666,72,0.00437362136527855,3.8029684565342284e-05,-1.7679814438272107e-05,5.323041079473492e-08,-3.805030602594468e-05,3.949015276390671e-05,6.098330507155739e-07,5.508378336526139e-07
1,0.0015339807878856412,192.0,72,0.004908150510609117,3.803567471987807e-05,-1.7514111879713483e-05,5.3296556808457116e-08,-4.1532136692880235e-05,3.8567017567084274e-05,1.5819703598183797e-07,5.221497477259586e-07
1,0.0015339807878856412,213.33333333333331,72,0.0054372835170262614,3.812034577720188e-05,-1.7329479486838627e-05,5.334314282945306e-08,-4.809149196415618e-05,3.841498068105285e-05,-3.9192334797026544e-07,5.569643997022194e-07
