nk,k,force_amplitude,target_amplitude,tau_linear,run_time,steady_start,linear_average_steady_amplitude,n_samples,n_blocks_steady,psi[0]_sin_mean,psi[0]_sin_sem,psi[0]_cos_mean,psi[0]_cos_sem,psi[0]_amp_from_mean,psi[0]_sin_ratio_to_target,psi[0]_steady_linear_ratio,linear_final_amplitude,linear_average_all_time_amplitude,n_blocks_total,nonempty_stderr,psi[0]_amp_mean,psi[0]_amp_sem,psi[0]_mean_mean,psi[0]_mean_sem,Jpsi[0]_y_sin_mean,Jpsi[0]_y_sin_sem,Jpsi[0]_y_cos_mean,Jpsi[0]_y_cos_sem,Jpsi[0]_y_amp_mean,Jpsi[0]_y_amp_sem,Jpsi[0]_y_mean_mean,Jpsi[0]_y_mean_sem,vx_sin_mean,vx_sin_sem,vx_cos_mean,vx_cos_sem,vx_amp_mean,vx_amp_sem,vx_mean_mean,vx_mean_sem,pi_xy_sin_mean,pi_xy_sin_sem,pi_xy_cos_mean,pi_xy_cos_sem,pi_xy_amp_mean,pi_xy_amp_sem,pi_xy_mean_mean,pi_xy_mean_sem
1,0.0015339807878856412,2.823716469122703e-08,0.1,3541432.0486315996,20000000.0,10000000.0,0.09802181724864872,72,251,0.016897470163938517,6.207113577971922e-05,-1.9656069380162605e-05,2.9694707877744683e-05,0.016897481596446728,0.16897470163938516,0.17238478777714616,0.09964734419425036,0.0823552850854729,500,0,0.016908511655078073,6.191930979929996e-05,2.303749636091377e-21,4.369727312308407e-21,5.560862401194752e-09,8.666753939954298e-09,-1.842603070397976e-05,1.20431501484032e-08,1.8436199588450816e-05,1.2009401680579569e-08,1.1448202951449827e-07,5.369537226489953e-08,-1.6570046735232084e-05,2.70225170790791e-05,-4.408422544073401e-05,3.0987487439744424e-05,0.00043579731510052247,1.4175999545327682e-05,-3.0715411950382803e-22,2.0367114645940359e-22,1.1044464081363215e-07,6.200066765394118e-08,6.862515390292327e-08,6.125246278921668e-08,1.0628058005824516e-05,3.707424748804645e-08,5.230876838065893e-24,1.0384562805263694e-23
2,0.0030679615757712823,1.1294865876490812e-07,0.1,885358.0121578999,20000000.0,10000000.0,0.09999988989283097,72,251,0.018077397870002662,2.9672179112724344e-05,-4.815990836285155e-06,1.716001245450401e-05,0.018077398511515547,0.18077397870002662,0.18077417774535606,0.09999999998453307,0.0955732099398952,500,0,0.018083138892910314,2.9604354834387838e-05,1.9060428575517167e-23,1.598648244329581e-21,7.632874883677929e-10,1.9829475916487338e-09,-3.681429099649096e-05,3.889091596044496e-09,3.682227712333694e-05,3.892245022827368e-09,1.752809395371259e-08,5.32494350807598e-08,3.685947588090804e-06,1.6453356836908525e-05,3.540640735692744e-06,1.5641084753363227e-05,0.0004238024038358884,7.974243325550547e-06,-2.932025107186339e-22,2.1884316551949913e-22,-9.726532650373364e-08,5.86510713645966e-08,8.418613786929507e-08,6.401920317220889e-08,1.0644927409022814e-05,4.0217374779052785e-08,3.1275897913617827e-24,1.1152309790359613e-23
3,0.0046019423636569235,2.5413448222104327e-07,0.1,393492.44984795543,20000000.0,10000000.0,0.09999999999996387,72,251,0.01920814351940656,2.0326071240193044e-05,6.169805742691323e-06,9.170264290765442e-06,0.019208144510301433,0.1920814351940656,0.192081435194135,0.1,0.09803253775076022,500,0,0.019211736872906504,2.031038022766179e-05,-2.2357570253039576e-21,1.800586057727316e-21,9.230963411918454e-10,1.2850694108113929e-09,-5.52230777241757e-05,2.069050720511392e-09,5.522897318305767e-05,2.0654102732248513e-09,5.915673488171823e-08,4.60445710079124e-08,3.248940755137814e-06,8.8434911066633e-06,-1.960053004144149e-05,1.0823277598693855e-05,0.00042219224976069026,4.441708169015618e-06,1.197994805877596e-22,1.9614667828602058e-22,1.2136221594304067e-08,6.161830988416061e-08,-1.4409515642691565e-09,6.578504453268572e-08,1.0541538563279622e-05,4.5468191056081355e-08,-3.037169930393905e-23,1.0964740842724461e-23
4,0.006135923151542565,4.5179463505963247e-07,0.1,221339.50303947498,20000000.0,10000000.0,0.1,72,251,0.020088750889302027,1.4398375544690772e-05,-1.912122453128911e-06,6.178185429387816e-06,0.02008875098030351,0.20088750889302026,0.20088750889302026,0.1,0.09889330248480263,500,0,0.020091358516272535,1.4399871349242331e-05,2.4216118272173673e-23,1.4819086608396446e-21,-2.7827668761282865e-10,1.071187629757761e-09,-7.363038438690093e-05,1.5524478247018062e-09,7.363496905848814e-05,1.5546301071103743e-09,9.690305722275676e-10,4.2210085028246606e-08,3.238020469743883e-07,6.942750479770795e-06,-4.325351522219372e-06,7.548735090939261e-06,0.0004213277618919688,3.929416123014255e-06,-1.9260406842539126e-22,2.305490268230861e-22,-4.379834146572787e-08,6.021843784435218e-08,7.906400793489814e-09,6.368583119202326e-08,1.0593667032458937e-05,4.4348929550948024e-08,-3.4254089878542424e-24,1.0602247902004145e-23
5,0.007669903939428206,7.059291172806757e-07,0.1,141657.28194526397,20000000.0,10000000.0,0.1,72,251,0.020924643688290574,1.094808340582886e-05,-1.1046064810613896e-05,4.122686988188069e-06,0.020924646603884767,0.20924643688290573,0.20924643688290573,0.1,0.09929171359027368,500,0,0.02092659893128246,1.0937593352311021e-05,5.75937409022844e-22,1.4476328717153433e-21,1.6310277537251768e-10,6.877669819862659e-10,-9.20396551164031e-05,9.194787537093522e-10,9.204306111951552e-05,9.126625644572275e-10,4.1833803110263833e-08,4.0850954974607066e-08,9.981546935492515e-06,7.567158797210851e-06,7.385189082867975e-07,6.334068245851591e-06,0.0004154329964590974,2.7860447961140457e-06,-5.382227577266981e-23,1.959043378061843e-22,-5.884016049391918e-08,6.398503213493804e-08,-3.4298737633549967e-08,5.865058731566935e-08,1.0516944492306436e-05,3.679940616327732e-08,5.056091145698191e-24,1.1088461882406191e-23
6,0.009203884727313847,1.016537928884173e-06,0.1,98373.11246198886,20000000.0,10000000.0,0.1,72,251,0.02165681932976953,8.553776336340478e-06,7.434720305826722e-07,2.83169620870086e-06,0.021656819342531112,0.21656819329769528,0.21656819329769528,0.1,0.09950813443769006,500,0,0.02165828770039703,8.554666871698074e-06,-9.117759112026186e-23,1.229085381002751e-21,-1.1265057489589377e-09,4.078441125119319e-10,-0.00011044853334758169,7.268983873646288e-10,0.00011045099846796472,7.269145668381565e-10,5.4739601097598916e-08,3.746432661461638e-08,-1.361910460563824e-05,5.856407637274655e-06,-5.858938178235656e-06,5.977163704765009e-06,0.0004062210183573098,2.976524703352523e-06,2.3684926000396855e-23,1.9212258559090278e-22,7.843970113209581e-08,7.410516318012593e-08,-2.3710932492877703e-08,6.366324817965078e-08,1.0608571318415805e-05,4.23941996985159e-08,2.9260491941288505e-23,9.60976696126679e-24
8,0.01227184630308513,1.8071785402385299e-06,0.1,55334.875759868744,20000000.0,10000000.0,0.1,72,251,0.023006849276133428,6.623032011796772e-06,3.481194446434838e-07,2.259206602954137e-06,0.023006849278767148,0.23006849276133426,0.23006849276133426,0.1,0.09972332562120066,500,0,0.02300787458523855,6.622789463675306e-06,-2.4454842328430926e-21,1.825506223888741e-21,6.454578314760279e-10,3.844849742370631e-10,-0.00014726149370648402,5.566054374213553e-10,0.00014726284765945112,5.547085528250462e-10,-1.750222414665486e-08,2.6973177966976313e-08,5.805001978622409e-06,4.0704438992606745e-06,-1.3884512784370019e-06,4.457466305157854e-06,0.0003885709316664093,1.9707595040894034e-06,-2.7526695989511427e-22,2.065177232654597e-22,-2.9422683759620748e-08,6.065613838426828e-08,-5.7657739650635685e-08,5.425928775212747e-08,1.0573317837088752e-05,3.7191940927955564e-08,-1.0929476283082237e-23,1.1996360239130165e-23
10,0.015339807878856412,2.823716469122703e-06,0.1,35414.32048631599,20000000.0,10000000.0,0.1,72,251,0.02421353922709168,4.749010444949988e-06,1.2822312155474347e-06,2.0530892660242714e-06,0.024213539261042045,0.2421353922709168,0.2421353922709168,0.1,0.09982292839756843,500,0,0.024214269083596213,4.749188528172221e-06,1.4873383609747544e-23,1.3458861445638956e-21,2.542339174868279e-10,3.9453383104114125e-10,-0.00018407713453102962,4.861213876258462e-10,0.0001840778932407758,4.857898166857012e-10,3.114926439174802e-08,2.6352090200101924e-08,5.397015234075249e-07,3.4297264124426336e-06,-3.784297095106055e-06,3.2384595107408335e-06,0.00036546366462202984,1.9331978838022656e-06,1.3925049171605391e-22,1.9919866411091323e-22,2.287108042049957e-08,6.789348725149115e-08,1.0802016034757738e-07,6.752589682558017e-08,1.0547964290948837e-05,3.662814422518397e-08,1.2727132482238348e-23,1.1051716474572696e-23
12,0.018407769454627694,4.066151715536692e-06,0.1,24593.278115497214,20000000.0,10000000.0,0.1,72,251,0.025339988614490213,3.913351937085742e-06,-1.67622864535024e-06,1.6770681557455648e-06,0.02533998866993109,0.2533998861449021,0.2533998861449021,0.1,0.09987703360942252,500,0,0.025340525488248777,3.9120833984730335e-06,1.9514441734865293e-21,1.8872443042745707e-21,5.028113549473861e-10,3.5998780998272214e-10,-0.00022089303695619792,3.930058557355687e-10,0.00022089349130112977,3.933342702334573e-10,4.868800131575679e-09,2.81165165872828e-08,-8.87754719905088e-07,2.8334425042582513e-06,1.3869729496069868e-06,3.1783322881389786e-06,0.0003416854627777814,1.3747045858438379e-06,-8.149114381139206e-23,1.8699858623519767e-22,2.70092511317184e-08,6.344960499952594e-08,4.8386272365569654e-08,5.974509411421728e-08,1.0608258156918903e-05,4.325065229815121e-08,1.9587715021766217e-24,1.1449644553902765e-23
16,0.02454369260617026,7.2287141609541196e-06,0.1,13833.718939967186,20000000.0,10000000.0,0.1,72,251,0.027419161917490373,3.263325027300675e-06,-3.4103860518436054e-07,1.2222682912298646e-06,0.027419161919611287,0.2741916191749037,0.2741916191749037,0.1,0.09993083140530018,500,0,0.02741947742201596,3.2634539118924673e-06,-7.9950686223239575e-22,2.026001890639845e-21,1.429632511663738e-10,4.3330514521195026e-10,-0.00029452463643011396,5.131611927692284e-10,0.0002945248311622888,5.13300516399809e-10,-2.339456084918627e-08,2.498894429436131e-08,-4.458660906412341e-06,2.015063891313045e-06,7.173695356873433e-07,1.9578697035859404e-06,0.0002964340012708413,1.2605970474196352e-06,-2.5073837558071906e-22,2.0042222339818947e-22,2.313755781405646e-09,5.9310353406115277e-08,9.230663570323998e-08,5.731131612268195e-08,1.055629263354838e-05,4.321100065079843e-08,1.7875010527839134e-23,8.958358180806795e-24
