frame,step,time,samples,sine2d_amplitude_mean,sine2d_amplitude_sem,sine2d_amplitude_std,psi_mean_mean,psi_mean_sem,psi_std_mean,psi_std_sem,psi_rms_mean,psi_rms_sem,mean_field_min,mean_field_max,mean_field_rms,field_ensemble_std_mean
0,12000,48000.0,16,0.09743459342608651,3.64923377374809e-06,1.459693509499236e-05,6.776263578034403e-21,3.190721188168234e-20,0.04879163577262765,1.3492169204037022e-06,0.04879163577262765,1.3492169204037022e-06,-0.09750699900264115,0.09752719165883222,0.04872181007191309,0.0024671471334998443
1,24000,96000.0,16,0.09448430095494265,7.244161138529502e-06,2.8976644554118007e-05,2.6916824768303317e-20,1.7657964562279388e-20,0.04736459630749412,3.2538145496455245e-06,0.04736459630749412,3.2538145496455245e-06,-0.09458607046860025,0.0946137726555622,0.04724967994050064,0.003116169588094914
2,36000,144000.0,16,0.09146558086090698,1.3684831625827877e-05,5.473932650331151e-05,-1.4564260954178107e-20,2.6659460007505453e-20,0.04589524257856344,5.123029465904162e-06,0.04589524257856344,5.123029465904162e-06,-0.09168497658815326,0.0916111427861808,0.045742476850078234,0.003537905531001728
3,48000,192000.0,16,0.08845199140699891,2.2082806775047115e-05,8.833122710018846e-05,2.5034529329960434e-20,2.0777193929997078e-20,0.04442667302907134,8.147188260480227e-06,0.04442667302907134,8.147188260480227e-06,-0.08862490413587903,0.08874523186126311,0.04423763074513751,0.003878539576704028
4,60000,240000.0,16,0.0854677292703247,3.073141800945577e-05,0.0001229256720378231,-1.595245383995599e-20,1.5829081576207072e-20,0.04296879795594887,1.1052543463234495e-05,0.04296879795594887,1.1052543463234495e-05,-0.08552814959682233,0.0859160486853012,0.04274770983286229,0.004129568955950792
5,72000,288000.0,16,0.0825380464485326,3.724707100343185e-05,0.0001489882840137274,6.3527471044072525e-21,2.3501920918370815e-20,0.04153310276436636,1.3980133572546947e-05,0.04153310276436636,1.3980133572546947e-05,-0.08262299906725566,0.08288939474160735,0.04128524432122538,0.004306849987716761
6,84000,336000.0,16,0.0796618635803987,4.362856958937197e-05,0.00017451427835748787,-1.4587789647157388e-21,1.7829285314710064e-20,0.04012330895034068,1.7153443251005056e-05,0.04012330895034068,1.7153443251005056e-05,-0.07975039431320889,0.07983984841260951,0.03984950774887662,0.004449858871753648
7,96000,384000.0,16,0.0768599118839334,4.7419450703731594e-05,0.00018967780281492637,-1.5246593050577406e-20,1.909449330768552e-20,0.038743223606523054,1.932890238043234e-05,0.038743223606523054,1.932890238043234e-05,-0.0771302831143229,0.07683645611606413,0.03845045922450462,0.004520739343665174
8,108000,432000.0,16,0.07414055969267724,5.1248972509689784e-05,0.00020499589003875914,4.893968139691513e-21,2.0225116312443682e-20,0.03740297022487396,2.124947600164329e-05,0.03740297022487396,2.124947600164329e-05,-0.0742751270897614,0.07433317613281265,0.03709256664596853,0.004577578503606963
9,120000,480000.0,16,0.07148986646886085,5.560743036503048e-05,0.00022242972146012193,-1.2893723752648793e-20,1.221180419476492e-20,0.03609761109727066,2.3127159443640352e-05,0.03609761109727066,2.3127159443640352e-05,-0.07179200878879406,0.07186712040642271,0.03576899207272537,0.004630250710296922
10,132000,528000.0,16,0.06891706896791845,5.8510955888593615e-05,0.00023404382355437446,-3.764590876685781e-21,2.0334367140938063e-20,0.03483028172781116,2.5436276708403686e-05,0.03483028172781116,2.5436276708403686e-05,-0.06930225597696939,0.0693382119528714,0.03448325073157015,0.004671098690254665
11,144000,576000.0,16,0.06642189828191364,6.194705120202275e-05,0.000247788204808091,1.571716691016313e-20,2.2022467831962534e-20,0.03359867611456038,2.7499342843616526e-05,0.03359867611456038,2.7499342843616526e-05,-0.06697642956897597,0.06697827787047152,0.033236143476644754,0.004682932703303685
12,156000,624000.0,16,0.06399934677398927,6.605958435590015e-05,0.0002642383374236006,-2.804620203130906e-20,1.4191309276252458e-20,0.03240456458306227,2.9627228995562414e-05,0.03240456458306227,2.9627228995562414e-05,-0.06468671809420995,0.06441657973906384,0.03202486730063688,0.004709949587342068
13,168000,672000.0,16,0.06166246453098551,6.801582507277337e-05,0.0002720633002910935,-1.2234920349228781e-20,1.5199268566686073e-20,0.031249560453735364,3.0337288010643764e-05,0.031249560453735364,3.0337288010643764e-05,-0.062140223345588275,0.062116208458583164,0.03085575828047673,0.004710122594201262
14,180000,720000.0,16,0.05939897582527136,7.284137214303842e-05,0.0002913654885721537,-1.1764346489643094e-21,1.6025689700895875e-20,0.03013238639207208,3.092887016582335e-05,0.03013238639207208,3.092887016582335e-05,-0.06004191862385501,0.05999438583653407,0.029724274603385566,0.0047053151381191895
15,192000,768000.0,16,0.057188153573622225,8.184070147723795e-05,0.0003273628059089518,-2.4752185014208998e-20,2.2951439416819224e-20,0.02904285642761404,3.297360592114029e-05,0.02904285642761404,3.297360592114029e-05,-0.05771409890820602,0.057708969009177505,0.02861986167236786,0.004705001613096054
16,204000,816000.0,16,0.05504778417631529,9.189982552151018e-05,0.00036759930208604073,-1.9952331646434632e-20,2.09447979194843e-20,0.027985358923142578,3.595849140204562e-05,0.027985358923142578,3.595849140204562e-05,-0.05545301365202156,0.05544156408401699,0.027549846040049522,0.0046868335729721156
17,216000,864000.0,16,0.05298242691601616,0.00010309190180770132,0.00041236760723080526,9.505591963631592e-21,1.978982500664594e-20,0.02696224096395687,3.970270022758746e-05,0.02696224096395687,3.970270022758746e-05,-0.05326247531395624,0.05340563316336974,0.026518052761613665,0.004650672424899173
18,228000,912000.0,16,0.05098358355831745,0.0001113640786856782,0.0004454563147427128,-4.1504614415460717e-20,1.6239875922017267e-20,0.025970528381171858,4.4101247499369845e-05,0.025970528381171858,4.4101247499369845e-05,-0.05128848723368872,0.051300186893356435,0.025519290337724012,0.00459824515275908
19,240000,960000.0,16,0.04906064425937619,0.00011544584783773072,0.00046178339135092287,-1.4023101015654526e-20,2.1966086682151194e-20,0.0250155458081263,4.659926372535268e-05,0.0250155458081263,4.659926372535268e-05,-0.04932244206600597,0.049538586387624,0.024557730542618908,0.004551278344831056
20,252000,1008000.0,16,0.04719559809758992,0.00011851395713378668,0.0004740558285351467,1.0258510138968748e-20,2.1751048441323288e-20,0.024090916707920323,4.825018244820022e-05,0.024090916707920323,4.825018244820022e-05,-0.04758937531315192,0.047747695346602774,0.023625452491400464,0.004511494471621078
21,264000,1056000.0,16,0.04539996490837298,0.00012246169007498178,0.0004898467602999271,-1.7505347576588875e-20,2.1462295441028917e-20,0.023198860223049837,4.9292182810867784e-05,0.023198860223049837,4.9292182810867784e-05,-0.045847422644123004,0.04588753958082614,0.0227272480277674,0.004462581489107758
